"city_code","portname","ctry","ctryname","type","subtype","airport_code"
"ABB","Asaba International","NG","Nigeria","L","A",
"ABK","Kebri Dehar","ET","Ethiopia","L","A",
"AKS","Gwaunaru'u","SB","Solomon Islands","L","A",
"AOG","Teng'ao","CN","China","L","A",
"ATY","Watertown Regional","US","USA","L","A",
"AVA","Huangguoshu","CN","China","L","A",
"BEM","Beni Mellal National","MA","Morocco","L","A",
"BHU","Bhavnagar Civil","IN","India","L","A",
"BJV","Bodrum Milas Airport","TR","Turkey","A","A",
"BJV","Bodrum","TR","Turkey","M",,
"BPL","Alashankou","CN","China","L","A",
"BTC","Batticaloa Airport","LK","Sri Lanka","L","A",
"BUL","Bulolo","PG","Papua New Guinea","L","A",
"BUW","Betoambari","ID","Indonesia","L","A",
"BYC","Yacuiba","BO","Bolivia","L","A",
"BZK","Bryansk","RU","Russian Federation","L","A",
"CLP","Clarks Point","US","USA","L","A",
"CVN","Clovis Municipal Apt","US","USA","A","A",
"CVN","Clovis","US","USA","M",,
"DCN","RAAF Curtin","AU","Australia","L","A",
"DEF","Dezful","IR","Iran Islamic Republic of","L","A",
"DOB","Rar Gwamar","ID","Indonesia","L","A",
"DQA","Sartu","CN","China","L","A",
"DRT","Del Rio","US","USA","M",,
"EBD","El Obeid","SD","Sudan","L","A",
"EBH","El Bayadh","DZ","Algeria","L","A",
"ERL","Saiwusu Intl","CN","China","L","A",
"EZV","Berezovo","RU","Russian Federation","L","A",
"FAC","Faaite","PF","French Polynesia","L","A",
"FAH","Farah","AF","Afghanistan","L","A",
"FGU","Fangatau","PF","French Polynesia","L","A",
"FHZ","Fakahina","PF","French Polynesia","L","A",
"FNI","Nimes","FR","France","M",,
"FVM","Fuvahmulak Island","MV","Maldives","L","A",
"GEL","Santo Angelo","BR","Brazil","L","A",
"GGM","Kakamega","KE","Kenya","L","A",
"GLN","Guelmime","MA","Morocco","L","A",
"GMO","Lawanti","NG","Nigeria","L","A",
"GTS","The Granites","AU","Australia","L","A",
"HBX","Hubli","IN","India","L","A",
"HFA","Haifa","IL","Israel","L","A",
"HHZ","Hikueru","PF","French Polynesia","L","A",
"IAO","Sayak","PH","Philippines","L","A",
"IFP","Laughlin/Bullhead International","US","USA","L","A",
"IGT","Sleptsovskaya","RU","Russian Federation","L","A",
"IPL","Imperial County Apt","US","USA","A","A",
"IPL","Imperial/El Centro","US","USA","M",,
"IRM","Igrim","RU","Russian Federation","L","A",
"IYK","Inyokern","US","USA","L","A",
"JIC","Jinchuan","CN","China","L","A",
"JKR","Janakpur","NP","Nepal","L","A",
"JUH","Jiuhuashan","CN","China","L","A",
"KHZ","Kauehi","PF","French Polynesia","L","A",
"KPO","P'Ohang","KR","Korea Republic of","L","A",
"KQT","Qurghonteppa International","TJ","Tajikistan","L","A",
"KWF","Waterfall Seaplane Base","US","USA","L","A",
"KXA","Kasaan Seaplane Base","US","USA","L","A",
"LDS","Lindu","CN","China","L","A",
"LDY","Eglinton","GB","United Kingdom","L","A",
"LTI","Altai","MN","Mongolia","L","A",
"LUL","Hattiesburg/Laurel Hesler-Noble Field","US","USA","A","A",
"LUL","Hattiesburg/Laurel","US","USA","M",,
"LUZ","Lublin Airport","PL","Poland","A","A",
"LUZ","Lublin","PL","Poland","M",,
"MBI","Mbeya","TZ","Tanzania United Republic of","L","A",
"MCN","Macon Middle Georgia Regional Apt","US","USA","A","A",
"MCN","Macon","US","USA","M",,
"MIU","Maiduguri International","NG","Nigeria","L","A",
"MZW","Mecheria","DZ","Algeria","L","A",
"NAU","Napuka","PF","French Polynesia","L","A",
"NBW","Mariana Grajales","CU","Cuba","L","A",
"NUK","Nukutavake","PF","French Polynesia","L","A",
"OAS","Sharana Air Base","AF","Afghanistan","L","A",
"OFI","Ouango-Fitini","CI","Cote d'Ivoire","L","A",
"OKL","Gunung Bintang","ID","Indonesia","L","A",
"OLP","Olympic Dam","AU","Australia","L","A",
"OMO","Mostar","BA","Bosnia and Herzegovina","L","A",
"ORU","Juan Mendoza","BO","Bolivia","L","A",
"OSO","Osborne Mine","AU","Australia","L","A",
"OUZ","Tazadit","MR","Mauritania","L","A",
"OZG","Zagora","MA","Morocco","L","A",
"PBD","Porbandar","IN","India","L","A",
"PQM","Palenque International","MX","Mexico","L","A",
"PSZ","Puerto Suarez International","BO","Bolivia","L","A",
"QFG","Eqalugaarsuit Heliport","GL","Greenland","L","A",
"QFN","Narsaq Kujalleq Heliport","GL","Greenland","L","A",
"QFX","Igaliku Heliport","GL","Greenland","L","A",
"QGQ","Attu","GL","Greenland","L","A",
"QJE","Kitsissuarsuit","GL","Greenland","L","A",
"QJI","Ikamiut","GL","Greenland","L","A",
"QMK","Niaqornaarsuk","GL","Greenland","L","A",
"QPW","Kangaatsiaq","GL","Greenland","L","A",
"QRY","Ikerasaarsuk","GL","Greenland","L","A",
"QUO","Akwa Ibom Intl","NG","Nigeria","L","A",
"QUP","Saqqaq","GL","Greenland","L","A",
"QUV","Aappilattoq Nanortalik Heliport","GL","Greenland","L","A",
"QUW","Ammassivik Heliport","GL","Greenland","L","A",
"RDB","Red Dog","US","USA","L","A",
"RDO","Radom","PL","Poland","M",,
"RDZ","Marcillac","FR","France","L","A",
"RKA","Aratika-Nord","PF","French Polynesia","L","A",
"RRR","Raroia","PF","French Polynesia","L","A",
"RUP","Rupsi","IN","India","L","A",
"SAE","Saatut Heliport","GL","Greenland","L","A",
"SGG","Sermiligaaq","GL","Greenland","L","A",
"SHC","Shire","ET","Ethiopia","L","A",
"SLN","Salina Regional","US","USA","L","A",
"SWV","Severo-Evensk","RU","Russian Federation","L","A",
"SXK","Olilit","ID","Indonesia","L","A",
"TCI","Tenerife","ES","Spain","M",,
"TEX","Telluride Municipal","US","USA","L","A",
"TKV","Tatakoto","PF","French Polynesia","L","A",
"TNH","Sanyuanpu","CN","China","L","A",
"TOV","Tortola West End SPB","VG","Virgin Islands, British","A","H",
"TOV","Tortola","VG","Virgin Islands, British","M",,
"TQL","Tarko-Sale","RU","Russian Federation","L","A",
"TZL","Tuzla International","BA","Bosnia and Herzegovina","L","A",
"UBS","Columbus Lowndes County Apt","US","USA","A","A",
"UBS","Columbus","US","USA","M",,
"ULY","Vostochny","RU","Russian Federation","L","A",
"ULZ","Donai","MN","Mongolia","L","A",
"UPK","Upernavik Kujalleq Heliport","GL","Greenland","L","A",
"UTS","Ust-Tsilma","RU","Russian Federation","L","A",
"UUA","Bugulma","RU","Russian Federation","L","A",
"VHZ","Vahitahi","PF","French Polynesia","L","A",
"VLY","Valley","GB","United Kingdom","L","A",
"WAE","Wadi al Dawaser","SA","Saudi Arabia","L","A",
"WMK","Meyers Chuck Seaplane Base","US","USA","L","A",
"XIQ","Ilimanaq","GL","Greenland","L","A",
"XJD","Al Udeid, Air Base","QA","Qatar","L","A",
"YEA","Edmonton","CA","Canada","M",,
"YGV","Havre St Pierre","CA","Canada","L","A",
"YMK","Mys-Kamenny","RU","Russian Federation","L","A",
"YNY","Yangyang International","KR","Korea Republic of","L","A",
"YPN","Port Menier","CA","Canada","L","A",
"ZQZ","Zhangjiakou","CN","China","L","A",
"ZYI","Xinzhou","CN","China","L","A",
