airport_code,city_code,airport_name_en,airport_name_ar,airport_name_hi,Address in English,Address in Arabic,,Email,Phone,Website
AAA,AAA,Anaa Airport,,,,,,,,
AAB,,,,,,,,,,
AAE,AAE,Annaba Airport,,,,,,,,
AAL,AAL,Aalborg Airport,,,,,,,,
AAN,AAN,Al Ain International Airport,,,,,,,,
AAQ,AAQ,Anapa Airport,,,,,,,,
AAR,AAR,Aarhus Airport,,,,,,,,
AAT,DOY,Altay Air Base,,,,,,,,
AAX,,,,,,,,,,
ABA,ABA,Abakan Airport,,,,,,,,
ABB,AKR,Asaba International Airport,,,,,,,,
ABD,ABD,Abadan Airport,,,,,,,,
ABE,ABE,Lehigh Valley International Airport,,,,,,,,
ABI,ABI,Abilene Regional Airport,,,,,,,,
ABJ,ABJ,Port Bouet Airport,,,,,,,,
ABL,FAI,Ambler Airport,,,,,,,,
ABM,,``````````,,,,,,,,
ABQ,ABQ,Albuquerque International Sunport Airport,,,,,,,,
ABR,ABR,Aberdeen Regional Airport,,,,,,,,
ABS,ABS,Abu Simbel Airport,,,,,,,,
ABT,ABT,Al Baha Airport,,,,,,,,
ABU,,,,,,,,,,
ABV,ABV,Nnamdi Azikiwe International Airport,,,,,,,,
ABX,ABX,Albury Airport,,,,,,,,
ABY,ABY,Southwest Georgia Regional Airport,,,,,,,,
ABZ,ABZ,Aberdeen Airport,,,,,,,,
ACA,ACA,General Juan N Lvarez International Airport,,,,,,,,
ACC,ACC,Kotoka International Airport,,,,,,,,
ACE,ACE,Lanzarote Airport,,,,,,,,
ACH,ACH,St Gallen Altenrhein Airport,,,,,,,,
ACI,ACI,Alderney Airport,,,,,,,,
ACK,ACK,Nantucket Memorial Airport,,,,,,,,
ACT,ACT,Waco Regional Airport,,,,,,,,
ACU,,,,,,,,,,
ACV,ACV,Arcata-eureka Airport,,,,,,,,
ACX,YBP,Xingyi Airport,,,,,,,,
ACY,AIY,Atlantic City International Airport,,,,,,,,
ADA,ADA,Adana Airport,,,,,,,,
ADB,IZM,Adnan Menderes Airport,,,,,,,,
ADD,ADD,Addis Ababa Bole International Airport,,,,,,,,
ADE,ADE,Aden International Airport,,,,,,,,
ADF,,,,,,,,,,
ADH,,,,,,,,,,
ADK,ADK,Adak Airport,,,,,,,,
ADL,ADL,Adelaide Airport,,,,,,,,
ADQ,ADQ,Kodiak Airport,,,,,,,,
ADU,ADU,Ardabil Airport,,,,,,,,
ADZ,ADZ,Gustavo Rojas Pinilla International Airport,,,,,,,,
AEB,JGS,Baise Youjiang Airport,,,,,,,,
AEP,BUE,Aeroparque Jorge Newbery,,,,,,,,
AER,AER,Sochi International Airport,,,,,,,,
AES,AES,Lesund Airport,,,,,,,,
AET,,,,,,,,,,
AEX,AEX,Alexandria International Airport Louisiana,,,,,,,,
AEY,AEY,Akureyri Airport,,,,,,,,
AFA,AFA,Suboficial Ay Santiago Germano Airport,,,,,,,,
AFL,,,,,,,,,,
AGA,AGA,Al Massira Airport,,,,,,,,
AGB,MUC,Augsburg Airport,,,,,,,,
AGF,AGF,Agen-la Garenne Airport,,,,,,,,
AGH,AGH,Ngelholm-helsingborg Airport,,,,,,,,
AGM,JEG,Tasiilaq Heliport,,,,,,,,
AGN,,,,,,,,,,
AGP,AGP,Mlaga Airport,,,,,,,,
AGR,AGR,Agra Airport,,,,,,,,
AGS,AGS,Augusta Regional Airport,,,,,,,,
AGT,AGT,Guarani International Airport,,,,,,,,
AGU,AGU,Lic Jess Tern Peredo International Airport,,,,,,,,
AGX,AGX,Agatti Airport,,,,,,,,
AHB,AHB,Abha Regional Airport,,,,,,,,
AHE,MVT,Ahe Airport,,,,,,,,
AHJ,,,,,,,,,,
AHO,AHO,Alghero - Fertilia Airport,,,,,,,,
AHU,AHU,Cherif Al Idrissi Airport,,,,,,,,
AIA,AIA,Alliance Municipal Airport,,,,,,,,
AIN,,,,,,,,,,
AIT,AIT,Aitutaki Airport,,,,,,,,
AIU,AIU,Enua Airport,,,,,,,,
AJA,AJA,Ajaccio-napolcon Bonaparte Airport,,,,,,,,
AJF,AJF,Al-jawf Domestic Airport,,,,,,,,
AJI,,,,,,,,,,
AJL,AJL,Lengpui Airport,,,,,,,,
AJN,AJN,Ouani Airport,,,,,,,,
AJR,AJR,Arvidsjaur Airport,,,,,,,,
AJU,AJU,Santa Maria Airport,,,,,,,,
AJY,,,,,,,,,,
AKB,OTD,Atka Airport,,,,,,,,
AKF,AKF,Kufra Airport,,,,,,,,
AKI,,,,,,,,,,
AKJ,AKJ,Asahikawa Airport,,,,,,,,
AKK,,,,,,,,,,
AKL,AKL,Auckland Airport,,,,,,,,
AKN,AKN,King Salmon Airport,,,,,,,,
AKP,,,,,,,,,,
AKU,AKU,Aksu Airport,,,,,,,,
AKV,AKV,Akulivik Airport,,,,,,,,
AKX,AKX,Aktobe Airport,,,,,,,,
AKY,AKY,Sittwe Airport,,,,,,,,
ALA,ALA,Almaty International Airport,,,,,,,,
ALB,ALB,Albany International Airport,,,,,,,,
ALC,ALC,Alicante Airport,,,,,,,,
ALF,ALF,Alta Airport,,,,,,,,
ALG,ALG,Houari Boumediene Airport,,,,,,,,
ALH,ALH,Albany Airport,,,,,,,,
ALO,ALO,Waterloo Regional Airport,,,,,,,,
ALS,ALS,San Luis Valley Regional Airport,,,,,,,,
ALW,ALW,Walla Walla Regional Airport,,,,,,,,
ALZ,RBV,Alitak Seaplane Base,,,,,,,,
AMA,AMA,Rick Husband Amarillo International Airport,,,,,,,,
AMD,AMD,Sardar Vallabhbhai Patel International Airport,,,,,,,,
AMH,AMH,Arba Minch Airport,,,,,,,,
AMM,AMM,Queen Alia International Airport,,,,,,,,
AMQ,,,,,,,,,,
AMS,AMS,Amsterdam Airport Schiphol,,,,,,,,
ANC,ANC,Ted Stevens Anchorage International Airport,,,,,,,,
ANE,ANE,Angers-loire Airport,,,,,,,,
ANF,ANF,Cerro Moreno International Airport,,,,,,,,
ANI,ANI,Aniak Airport,,,,,,,,
ANR,ANR,Antwerp International Airport,,,,,,,,
ANS,ANS,Andahuaylas Airport,,,,,,,,
ANU,ANU,V C Bird International Airport,,,,,,,,
ANV,ANV,Anvik Airport,,,,,,,,
ANX,ANX,Andya Airport,,,,,,,,
AOE,,,,,,,,,,
AOG,YIN,Anshan Air Base,,,,,,,,
AOI,AOI,Ancona - Falconara Airport,,,,,,,,
AOJ,AOJ,Aomori Airport,,,,,,,,
AOK,AOK,Karpathos Island National Airport,,,,,,,,
AOO,AOO,Altoona-blair County Airport,,,,,,,,
AOQ,,,,,,,,,,
AOR,AOR,Sultan Abdul Halim Airport,,,,,,,,
AOS,RBV,Amook Bay Seaplane Base,,,,,,,,
AOU,,,,,,,,,,
APF,APF,Naples Municipal Airport,,,,,,,,
APK,APK,Apataki Airport,,,,,,,,
APL,APL,Nampula Airport,,,,,,,,
APN,APN,Alpena County Regional Airport,,,,,,,,
APO,IPI,Antonio Roldan Betancourt Airport,,,,,,,,
APW,APW,Faleolo International Airport,,,,,,,,
AQG,AQG,Anqing Airport,,,,,,,,
AQI,AQI,Hafr Al Batin Airport,,,,,,,,
AQJ,AQJ,Aqaba King Hussein International Airport,,,,,,,,
AQP,AQP,Rodrguez Balln International Airport,,,,,,,,
ARC,,,,,,,,,,
ARD,,,,,,,,,,
ARH,ARH,Talagi Airport,,,,,,,,
ARI,ARI,Chacalluta International Airport,,,,,,,,
ARK,ARK,Arusha Airport,,,,,,,,
ARM,ARM,Armidale Airport,,,,,,,,
ARN,STO,Stockholm Arlanda Airport,,,,,,,,
ART,ART,Watertown International Airport,,,,,,,,
ARU,,,,,,,,,,
ASB,ASB,Ashgabat Airport,,,,,,,,
ASE,ASE,Aspen-pitkin County Airport,,,,,,,,
ASF,ASF,Astrakhan Airport,,,,,,,,
ASJ,ASJ,Amami Airport,,,,,,,,
ASM,ASM,Asmara International Airport,,,,,,,,
ASO,ASO,Asosa Airport,,,,,,,,
