city_code,city_name_en,city_name_ar,city_name_hi
AAA,Anaa,آنا,आना
AAB,"","",""
AAD,"","",""
AAE,Annaba,عنابة,अन्नाबा
AAK,"","",""
AAL,Aalborg,ألبورغ,अलबोर्ग
AAN,Al Ain,العين,अल आन
AAQ,Anapa,عنابة,अनपा
AAR,Aarhus,آرهوس,आरहूस
AAT,Altay,,अल्ते
AAX,Araxa,,आराक्सा
ABA,Abakan,أباكان,अबाकान
ABB,"","",""
ABD,Abadan,عبدان,अबादान
ABE,Allentown Bethlehem Easton,ألينتاون/ بيت لحم / ايستون,एलेनटाउन बेतलेहेम ईस्टन
ABF,"","",""
ABI,Abilene,أبيلين,अबिलेन
ABJ,Abidjan,أبيدجان,आबिदजान
ABK,"","",""
ABL,Ambler,,अम्बलेर
ABM,Amberley,,आमबर्ली 
ABQ,Albuquerque,ألباكركي,आल्बकरकी
ABR,Aberdeen,أبردين,एबरडीन
ABS,Abu Simbel,أبو سمبل,अबू सिम्बेल
ABT,El Baha,الباحة,एल बहा
ABU,"","",""
ABV,Abuja,أبوجا,अबुजा
ABX,Albury,البوري,उबरि
ABY,Albany,ألباني,अल्बानी
ABZ,Aberdeen,أبردين,एबरडीन
ACA,Acapulco,أكابولكو,अकापुल्को
ACC,Accra,أكرا,अक्करा
ACE,Lanzarote,لانزاروت,लांजरोटे
ACH,Altenrhein,ألتنرهين,अल्टेनरहें
ACI,Alderney,آلديرني,ऑलडर्नी
ACK,Nantucket,نانتوكيت,नॅनटकेट
ACP,"","",""
ACR,"","",""
ACT,Waco,واكو,वाको
ACU,Achutupo,,अछुटूपो
ACV,Arcata,أركاتا,अर्कटा
ACX,Xingyi,,क्षिंगयइ
ACY,Atlantic City,أتلانتيك سيتي,अटलांटिक सिटी
ACZ,"","",""
ADA,Adana,أضنة,अड़ाना
ADD,Addis Ababa,اديس ابابا,अदीस अबाबा
ADE,Aden,عدن,अदन
ADF,Adiyaman,,आडिआमान
ADH,Aldan,,आल्डन
ADK,Adak Island,جزيرة آداك,अदक आइलैंड
ADL,Adelaide,أديليد,आडेलैडे
ADQ,Kodiak,كودياك,कोडिएक
ADU,Ardabil,أردبيل,अर्दाबिल
ADZ,San Andres Island,جزيرة سان اندريس,सॅन अँन्ड्रिस आइलॅंड
AEA,"","",""
AEB,Baise,,बैस 
AEG,"","",""
AER,Sochi,سوتشي,सोची
AES,Alesund,أليسوند,एल्संड
AET,Allakaket,ألاكاكيت,अल्लाककेट
AEU,"","",""
AEX,Alexandria,الإسكندرية,अलेग्ज़ॅंड्रिया
AEY,Akureyri,أكوريري,अकुरैरी
AFA,San Rafael,سان رافائيل,सॅन राफाएल
AFL,Alta Floresta,,अल्टा फ्लोरस्टा
AFZ,"","",""
AGA,Agadir,أكادير,अगाडिर
AGF,Agen,أجان,एगन
AGH,Angelholm Helsingborg,انغلهولم هلسنجبورج,अन्गेल्होल्म हेलसिंगबर्ग
AGM,Angmagssalik,,अंगमगस्सालिक
AGN,Angoon,,अंगून
AGP,Malaga,مالقة,मालगा
AGR,Agra,أكرة,आगरा
AGS,Augusta,أوغستا,अगस्ता
AGT,Ciudad Del Este,سيوداد ديل استي,सियुडॅड डेल एस्ट
AGU,Aguascalientes,أغواسكاليينتس,आग्वसकालिएंटस
AGX,Agatti,أجاتي,अगाती
AHB,Abha,أبها,आभा
AHE,Ahe,,एएचई
AHJ,"","",""
AHO,Alghero,ألغيرو,अल्घेरो
AHU,Al Hociema,الحسيمة,अल हॉसीमा
AIA,Alliance,تحالف,अलायंस
AIN,Wainwright,,वेनराइट
AIS,"","",""
AIT,Aitutaki,إيتوتاكي,एयिटयूटकी
AIU,Atiu Island,آتيو آيلاند,अतिउ आइलैंड
AJA,Ajaccio,أجاكسيو,आजक्सिओ
AJF,Al Jawf,الجوف,अल जाफ़
AJI,Agri,,अग्री
AJK,"","",""
AJL,Aizawl,ايزاول,आइजोल
AJN,Anjouan,أنجوان,ऐंजुआन
AJR,Arvidsjaur,أرفيدزجوز,अरविदस्जौर
AJU,Aracaju,أراكاجو,आरेकज्यू
AJY,Agadez,,एगेडेज़
AKB,Atka,,अतका
AKF,Kufra,الكفرة,कफ़रा
AKI,Akiak,,अकियाक
