city_code,city_name_en,city_name_hi,city_name_ar
AAB,"","",""
ABB,"","",""
ABU,"","",""
AHJ,"","",""
AOG,"","",""
AOQ,"","",""
AOU,"","",""
ASS,"","",""
AVA,"","",""
AXF,"","",""
AYM,"","",""
BEM,"","",""
BFC,"","",""
BGN,"","",""
BJW,"","",""
BLB,"","",""
BMB,"","",""
BNC,"","",""
BPL,"","",""
BQJ,"","",""
BTC,"","",""
BUW,"","",""
BWX,"","",""
BYP,"","",""
CBI,"","",""
CDT,"","",""
CFK,"","",""
CJF,"","",""
CKX,"","",""
CLP,"","",""
CYD,"","",""
DCG,"","",""
DCN,"","",""
DDU,"","",""
DEF,"","",""
DIQ,"","",""
DJH,"","",""
DOB,"","",""
DPT,"","",""
DQA,"","",""
DRV,"","",""
DTB,"","",""
DWO,"","",""
DXE,"","",""
EBH,"","",""
ECI,"","",""
EDA,"","",""
TOV,"","",""
EJN,"","",""
EKS,"","",""
ERG,"","",""
ERL,"","",""
ETR,"","",""
EZV,"","",""
FAC,"","",""
FAH,"","",""
FEC,"","",""
FGU,"","",""
FHZ,"","",""
FLZ,"","",""
FVM,"","",""
FYJ,"","",""
GEM,"","",""
GGM,"","",""
GLN,"","",""
GLX,"","",""
GMO,"","",""
UBS,"","",""
GYG,"","",""
HCJ,"","",""
HHZ,"","",""
HNY,"","",""
HOX,"","",""
HPG,"","",""
IAO,"","",""
IFU,"","",""
IGT,"","",""
IKE,"","",""
INB,"","",""
IOQ,"","",""
IOT,"","",""
IRM,"","",""
ITU,"","",""
IUI,"","",""
IWK,"","",""
JAE,"","",""
JAU,"","",""
JBB,"","",""
JEK,"","",""
JIC,"","",""
JJG,"","",""
JKR,"","",""
JRF,"","",""
JUH,"","",""
JUK,"","",""
JUU,"","",""
KAA,"","",""
KAZ,"","",""
KCF,"","",""
KCK,"","",""
KCO,"","",""
KDX,"","",""
KDY,"","",""
KEB,"","",""
KEO,"","",""
KGQ,"","",""
KHQ,"","",""
KHX,"","",""
KHZ,"","",""
KIY,"","",""
KJH,"","",""
KKI,"","",""
KMC,"","",""
KNK,"","",""
KOO,"","",""
KQT,"","",""
KSE,"","",""
KUZ,"","",""
KVR,"","",""
KWF,"","",""
KXA,"","",""
KXU,"","",""
LBN,"","",""
LDS,"","",""
LFQ,"","",""
LKA,"","",""
LLB,"","",""
LMA,"","",""
LPF,"","",""
LQN,"","",""
LWE,"","",""
MBI,"","",""
MEQ,"","",""
MGU,"","",""
MHC,"","",""
MMM,"","",""
MMQ,"","",""
MNA,"","",""
MNO,"","",""
MQJ,"","",""
MZA,"","",""
MZW,"","",""
NAU,"","",""
NBN,"","",""
NCJ,"","",""
NER,"","",""
NGD,"","",""
NIF,"","",""
NIQ,"","",""
NKI,"","",""
NLH,"","",""
NOP,"","",""
NRR,"","",""
NSQ,"","",""
NUK,"","",""
NYR,"","",""
NYW,"","",""
OAS,"","",""
OCM,"","",""
OGM,"","",""
OGU,"","",""
OHS,"","",""
OKE,"","",""
OKL,"","",""
OLL,"","",""
ONK,"","",""
ORU,"","",""
ORZ,"","",""
OUZ,"","",""
OZG,"","",""
PBZ,"","",""
PDM,"","",""
PGM,"","",""
LUL,"","",""
PKA,"","",""
PQM,"","",""
PQT,"","",""
PTX,"","",""
QFG,"","",""
QFN,"","",""
QFT,"","",""
QFX,"","",""
QGQ,"","",""
QJE,"","",""
QJH,"","",""
QJI,"","",""
QMK,"","",""
QOQ,"","",""
QPW,"","",""
QRY,"","",""
QUO,"","",""
QUP,"","",""
QUV,"","",""
QUW,"","",""
RCQ,"","",""
RCY,"","",""
RDB,"","",""
RDO,"","",""
RDP,"","",""
RHR,"","",""
RHT,"","",""
RIH,"","",""
RIZ,"","",""
RKA,"","",""
RRR,"","",""
RSS,"","",""
RTI,"","",""
RYL,"","",""
RZS,"","",""
SAE,"","",""
SEK,"","",""
SGG,"","",""
SGX,"","",""
SHF,"","",""
SOV,"","",""
SQJ,"","",""
SRK,"","",""
SUK,"","",""
SUY,"","",""
SVK,"","",""
SVR,"","",""
SVS,"","",""
SWO,"","",""
SXK,"","",""
SXZ,"","",""
SYS,"","",""
SZE,"","",""
SZY,"","",""
TBI,"","",""
TCR,"","",""
TCI,"","",""
TGI,"","",""
TGP,"","",""
THX,"","",""
TJK,"","",""
TJL,"","",""
TJN,"","",""
TKJ,"","",""
TKV,"","",""
TLI,"","",""
TLK,"","",""
TLY,"","",""
TMF,"","",""
TNH,"","",""
TQA,"","",""
TQI,"","",""
TQL,"","",""
TRA,"","",""
TWT,"","",""
TXF,"","",""
TZL,"","",""
UGI,"","",""
UKG,"","",""
ULZ,"","",""
