carrier_code,publish_status,table_airline_name,table_url,yml_airline_name,yml_url
0B,active,Blue Air,blue-air-airlines,Blue Air,blue-air-airlines
0D,inactive,Darwin Airlines,,translation missing: en.airlines.0D,translation-missing-en0d-airlines
2B,active,Bahrain Air,bahrain-air-airlines,Ak Bars Aero,ak-bars-aero-airlines
2B,inactive,Ak Bars Aero,,Ak Bars Aero,ak-bars-aero-airlines
2E,active,AVE.com,avecom-airlines,Smokey Bay Air,smokey-bay-air-airlines
2G,active,Cargoitalia,cargoitalia-airlines,Angara Airlines,angara-airlines
2G,inactive,Angara Airlines,,Angara Airlines,angara-airlines
2I,active,Star Peru,star-peru-airlines,Star Peru,star-peru-airlines
2J,active,Air Burkina,air-burkina-airlines,Air Burkina,air-burkina-airlines
2K,active,Avianca Ecuador,avianca-ecuador-airlines,Aero Galapagos,aero-galapagos-airlines
2L,active,Helvetic Airways,helvetic-airways-airlines,Helvetic Airways,helvetic-airways-airlines
2M,active,Moldavian Airlines,moldavian-airlines,Moldavian Airlines,moldavian-airlines
2N,active,Yuzmashavia,yuzmashavia-airlines,NextJet,nextjet-airlines
2N,inactive,NextJet,,NextJet,nextjet-airlines
2O,active,Redemption Inc,redemption-inc-airlines,Island Air Service,island-air-service-airlines
2P,active,PAL Express,pal-express-airlines,Philippines Corp,philippines-corp-airlines
2S,active,Air Carnival,air-carnival-airlines,Air Carnival,air-carnival-airlines
2T,inactive,TruJet,,translation missing: en.airlines.2T,translation-missing-en2t-airlines
2W,inactive,Welcome Air,,translation missing: en.airlines.2W,translation-missing-en2w-airlines
2Z,active,Changan Airlines,changan-airlines,Changan Airlines,changan-airlines
3B,active,Central Connect Airlines,central-connect-airlines,Binter Cabo Verde,binter-cabo-verde-airlines
3F,active,Pacific Airways,pacific-airways-airlines,Pacific Airways Inc,pacific-airways-inc-airlines
3G,active,Gambia Bird,gambia-bird-airlines,Gambia Bird,gambia-bird-airlines
3H,active,Air Inuit,air-inuit-airlines,Air Inuit,air-inuit-airlines
3J,active,Jubba Airways,jubba-airways-airlines,Jubba Airways,jubba-airways-airlines
3L,inactive,ky Luftfahrt,,translation missing: en.airlines.3L,translation-missing-en3l-airlines
3M,active,Gulfstream Intl,gulfstream-intl-airlines,Silver Airways Llc,silver-airways-llc-airlines
3P,active,Tiara Air Aruba,tiara-air-aruba-airlines,Tiara Air Aruba,tiara-air-aruba-airlines
3P,inactive,TransGlobal Airways,,Tiara Air Aruba,tiara-air-aruba-airlines
3R,active,Moskovia Airlines,moskovia-airlines,Moskovia Airlines,moskovia-airlines
3S,active,Aeroland Airways,aeroland-airways-airlines,Air Antilles Express,air-antilles-express-airlines
3S,inactive,Air Antilles Express,,Air Antilles Express,air-antilles-express-airlines
3U,active,Sichuan Airlines,sichuan-airlines,Sichuan Airlines,sichuan-airlines
3Z,active,Zoom Airways,zoom-airways-airlines,Travel Service Polska,travel-service-polska-airlines
3Z,inactive,Travel Service Polska,,Travel Service Polska,travel-service-polska-airlines
4B,active,Aviastar-TU,aviastar-tu-airlines,Boutique Air,boutique-air-airlines
4B,inactive,Perimeter Aviation,,Boutique Air,boutique-air-airlines
4D,active,Air Sinai,air-sinai-airlines,Air Sinai,air-sinai-airlines
4E,active,Stabo Air Limited,stabo-air-limited-airlines,Stabo Air Limited,stabo-air-limited-airlines
4G,active,Gazpromavia,gazpromavia-airlines,Gazpromavia,gazpromavia-airlines
4H,inactive,United Airways,,translation missing: en.airlines.4H,translation-missing-en4h-airlines
4K,active,Kenn Borek Air,kenn-borek-air-airlines,Kenn Borek Air,kenn-borek-air-airlines
4M,active,LAN Argentina,lan-argentina-airlines,LAN Argentina,lan-argentina-airlines
4N,active,Air North Yukons,air-north-yukons-airlines,Air North Yukons,air-north-yukons-airlines
4O,active,Interjet,interjet-airlines,Interjet,interjet-airlines
4Q,active,Safi Airways,safi-airways-airlines,Safi Airways,safi-airways-airlines
4T,inactive,Belair Airlines,,translation missing: en.airlines.4T,translation-missing-en4t-airlines
4U,active,Germanwings,germanwings-airlines,Germanwings,germanwings-airlines
4Y,inactive,Blue Line,,translation missing: en.airlines.4Y,translation-missing-en4y-airlines
4Y,inactive,Yute Air,,translation missing: en.airlines.4Y,translation-missing-en4y-airlines
5C,active,Nature Air,nature-air-airlines,C.A.L. Cargo Airlines,cal-cargo-airlines
5C,inactive,C.A.L. Cargo Airlines,,C.A.L. Cargo Airlines,cal-cargo-airlines
5E,active,Nok Mini,nok-mini-airlines,Nok Mini,nok-mini-airlines
5E,inactive,Equaflight Services,,Nok Mini,nok-mini-airlines
5G,active,Skyservice Airlines,skyservice-airlines,Aerocuahonte Sa De Cv,aerocuahonte-sa-de-cv-airlines
5H,active,Fly540,fly540-airlines,Fly540,fly540-airlines
5J,active,Cebu Pacific Air,cebu-pacific-air-airlines,Cebu Pacific Air,cebu-pacific-air-airlines
5M,active,Sibaviatrans,sibaviatrans-airlines,Montserrat Airways,montserrat-airways-airlines
5M,inactive,Montserrat Airways,,Montserrat Airways,montserrat-airways-airlines
5N,active,Nordavia,nordavia-airlines,Nordavia,nordavia-airlines
5O,active,Europe Airpost,europe-airpost-airlines,Europe Airpost,europe-airpost-airlines
