City Code,English,Arabic
XSB,Sir Bani Yas Island,صير بنى ياس
RGK,Gorno-Altaysk,غورنو-ألتايسك
ORL,Orlando,أورلاندو
PDA,Puerto InÂ¡rida,بويرتو إنريدا
SAC,Sacramento,سكرامنتو
HFD,Hartford,هارتفورد
PMA,Pemba,بيمبا
YPY,Fort Chipewyan,فورت تشيبيويان
RLK,Bayannur,بايانور
SIA,Xi'an,شيان
BAK,Baku,باكو
YTY,Yangzhou,يانغتشو
AUW,Wausau,اوسو
MWX,Muan,موان
DOU,Dourados,دورادوس
NQT,Nottingham,نوتنغهام
VIG,El VigÂ¡a,إل فيغوا
GYA,GuayaramerÂ¡n,كوارماران
ECP,Panama City,مدينة باناما
YRS,Red Sucker Lake,رد سوكر لاك
NBE,Enfidha,النفيضة
VDC,VitÂ¢ria Da Conquista,فيتا ريا دا كونكيستا
YZY,Mackenzie British Columbia,ماكنزي، بريتيش كولومبيا
SPD,Saidpur,سيدبور
OGN,Yonaguni Jima,يوناغوني جيما
CCK,Cocos Keeling Island,جزيرة كوكوس كيلينغ
SNE,Sao Nocolau Island,جزيرة ساو نيكولاو
LUP,Molokai,مولوكاي
LLV,Lvliang,فليانغ
FUO,Foshan,فوشان
WTL,Tuntutuliak,تانتوتلايك
KKH,Kongiganak,كونكيكاناك
KUK,Kasigluk,كاسيكلوك
NUP,Nunapitchuk,نونابيتشوك
AKI,Akiak,اكياك
PQS,Pilot Station,بايلوت ستاشن
RSH,Russian Mission,رشن ميشن
CYF,Chefornak,تشيفورناك
AGM,Angmagssalik,انجماجسالك
PNP,Girua,جيروا
KOS,Sihanoukville,سيهانوكفيل
CAP,Cap Haitien,كاب هايتين
THD,Thanh Hoa,ثانه هوا
MLL,Marshall,مارشال
UNK,Unalakleet,أونالاكليت
OOK,Toksook Bay,خليج توكسوك
BLE,Borlange,بورلانغ
KSD,Karlstad,كارلستاد
NJF,Najaf,النجف
VAW,VardÃ¸,فاردا
PRY,Pretoria,بريتوريا
DUM,Dumai,دوماي
ULO,Ulaangom,اولانكوم
KBU,Laut Island,جزيرة لوت
KAW,Kawthoung,كاثونك
MBD,Mafeking,مافيكنج
NZH,Manzhouli,مانتشولى
ZKP,Zyryanka,زيريانكا
NRL,North Ronaldsay,نورث رونالدزاي
RMQ,Taichung,تايتشونغ
SHX,Shageluk,شاكلاك
NHA,Nhatrang,ناترانغ
NYA,Nyagan,نايغان
EDR,Pormpuraaw,بورمبيورا
LQM,Puerto LeguÂ¡zamo,بويرتو ليغوزامو
LJA,Lodja,وديا
FKI,Kisangani,كيسانغاني
IBR,Ibaraki,ايباراكي
KSF,Kassel,كاسل
LLK,Lankaran,نكران
HZG,Hanzhong,هانتشونغ
AKP,Anaktuvuk Pass, أناكتوفوك باس
SHG,Shungnak,شوناك
EMK,Emmonak,ايموناك
HTY,Hatay,هاتاي
KLW,Klawock,كلواك
GIU,Sigiriya,سيجيريا
TKN,Tokunoshima,توكونوشيما
FSZ,Shizuoka,شيزوكا
NBS,Baishan,بايشان
EYK,Beloyarsky,بيليوراسكي
LAK,Aklavik,اكلافيك
KEW,Keewaywin,كيواوين
ZAC,York Landing,يورك لاندينج
TLT,Tuluksak,تولاكساك
LSA,Losuia,لوسويا
TWB,Toowoomba,توومبا
YWB,Kangiqsujuaq,كانجيكسوجواك
NIU,Niau,نياو
DMD,Doomadgee,دومادجي
BTI,Barter Island,بارتر ايلاند
MUA,Munda,موندا
FUG,Fuyang,فويانغ
MZO,Manzanillo,مانزانيلو
AKB,Atka,اتقا
TVS,Tangshan,تانغشان
LSW,Lhok Seumawe-Sumatra Island,لوك سوماو-سومطرة ايلاند
LNJ,Lincang,لينغانغ
AJY,Agadez,أغاديز
AEB,Baise,بايسه
LUO,Luena,وينا
GZP,Alanya,ألانيا
VRB,Vero Beach, فيرو بيتش
BCV,Belmopan,بلموبان
HJJ,Zhijiang,تشيجيانغ
MKZ,Malacca,ملقا
KTR,Katherine,كاثرين
MRE,Masai Mara,ماساي مارا
HIA,Huai An,هواي آن
SKK,Shaktoolik,شاكتوليك
NVI,Navoi,نافوي
KRW,Krasnovodsk,كراسنوفودسك
ZKG,Kegaska,كيغاسكا
RVV,Raivavae,ريفافي
MJC,Man,مان
ESD,Eastsound,إيستساوند
OLA,Orland,أورلاند
KYK,Karluk,كارلوك
JTC,Bauru,باورو
YGX,Gillam,جيلام
CHT,Chatham Island,شاثام ايلاند
JKL,Kalymnos,كاليمنوس
KWN,Quinhagak,كوينيهاك
NUL,Nulato,نولاتو
CKH,Chokurdah,شوكورداه
HRI,Mattala,ماتالا
CKZ,Canakkale,كاناكالي
JIQ,Qianjiang,تشيانجيانغ
MJU,Mamuju,ماموجو
BFX,Bafoussam,بافوسام
BRA,Barreiras,باريراس
PRA,Parana,بارانا
VGZ,Villa Garzon,فيلا غارزون
RNA,Ulawa,الاوا
YCL,Charlo,تشارلو
MHG,Mannheim,مانهايم
KTD,Kitadaito,كيتاديتو
WRY,Westray,ويستراي
HUE,Humera,حميرة
TCA,Tennant Creek,تينانت كريك
JUV,Upernavik,يوبرنافك
WAA,Wales,ويلز
KKX,Kikai,كيكاي
HXD,Hilton Head Island,هيلتون هيد أيلاند
PYJ,Yakutia,ياقوتيا
USQ,Usak,اوساك
HDG,Handan,هاندان
YNE,Norway House,نورواي هاوس
MLY,Manley Hot Springs,مانلي هوت سبرينك
MVB,Franceville,فرانسفيل
ZLT,La TabatiÅ re,لا تاباتير
HMB,Sohag,سوهاج
ZTA,Tureia,توريا
KFP,False Pass,فولس باس
TJU,Kulyab,كولياب
YGO,Gods Lake Narrows,كادس لاك ناررو
TGT,Tanga,طنجة
MNC,Nacala,نكالا
XTG,Thargomindah,ثاركاميندوا
SWQ,Sumbawa Island,سومباوا ايلاند
IAA,Igarka,ايغارغا
PPW,Papa Westray,بابا ويستراي
ARD,Alor Island, ألور ايلاند
NBX,Nabire,نابير
TDG,Tandag,تانداك
RMT,Rimatara,ريماتارا
VAV,Vava'u Island,فافاو ايلاند
YDA,Dawson,داوسون
LAM,Los Alamos,لوس ألاموس
KEP,Nepalgunj,نيبالغوني
JJU,Qaqortoq,كاكورتوك
ISC,St. Mary's,سانت ماري
BKG,Branson,برانسون
TNK,Tununak,توناك
FKQ,Fak Fak,فاك فاك
PUK,Pukarua,بوكارو
MFA,Mafia Island,مافيا ايلاند
PUM,Pomalaa,بومالا
ONQ,Zonguldak,زونجولداك
OHH,Okha,اوخا
ATM,Altamira,التاميرا
ELU,Guemar,كويمار
LSH,Lashio,اشيو
ZEL,Bella Bella,بيلا بيلا
HOV,Orsta-Volda,أورستا-فولدا
BOC,Bocas Del Toro,بوكاس ديل تورو
SDN,Sandane,ساندان
ARC,Arctic Village,أركتيك فيليج
PVA,Providencia,بروفيدينسا
MMD,Minami Daito,مينامي دايتو
MMH,Mammoth Lakes,ماموث لاكس
BJT,Bentota,بينتوتا
BKC,Buckland,باكلاند
NTQ,Wajima,اجيما
RIS,Rishiri Island, ريشيري ايلاند
MUE,Kamuela,كامويلا
NOB,Nosara Beach, نوسارا بيتش
SEU,Seronera,سيرونيرا
PIN,Parintins,بارينتينس
SKX,Saransk,سارانسك
CUK,Caye Caulker,كايي كولكر
BAL,Batman,باتمان
BCA,Baracoa Playa,باراكوا بلايا
BSD,Baoshan,باوشان
PBP,Nandayure,نانداجوريه
