airport_code,airport_name_en,country_code,airport_name_ar
IXZ,Vir Savarkar International Airport,IN,مطار فير سافاركار الدولي
YNJ,Yanji Chaoyangchuan Airport,CN,مطار يانجي تشاويانغتشوان
PMI,Palma De Mallorca Airport,ES,مطار بالما دي مايوركا
SLM,Salamanca Airport,ES,مطار سالامانكا
HKG,Chek Lap Kok International Airport,HK,مطار لاب كوك تشيك الدولية
DED,Dehradun Airport,IN,مطار دهرادون
SHE,Taoxian Airport,CN,مطار تاوشيان
CDC,Cedar City Regional Airport,US,الأرز مطار مدينة الإقليمي
SVN,Hunter Army Airfield Airport,US,مطار هنتر ارمي ايرفيلد
LKE,Kenmore Air Harbor Seaplane Base Airport,US,مطار كينمور اير هاربور سيبلاين بايس
JAI,Jaipur International Airport,IN,مطار جايبور الدولي
ISU,Sulaymaniyah International Airport,IQ,مطار السليمانية الدولي
DRG,Deering Airport,US,مطار ديرينغ
BCM,Bacu Airport,RO,مطار باكو
MMH,Mammoth Yosemite Airport,US,مطار ماموث يوسمايت
AKB,Atka Airport,PA,مطار اتكا
YYT,St Johns International Airport,CA,سانت جونز الدولية
FNC,Madeira Airport,PT,مطار ماديرا
GAM,Gambell Airport,US,مطار غامبل
CDB,Cold Bay Airport,US,مطار كولد باي
HCR,Holy Cross Airport,US,مطار الصليب المقدس
ALP,Aleppo International Airport,SY,مطار حلب الدولي
BSO,Basco Airport,PH,مطار باسكو
TAI,Taizz International Airport,YE,مطار تعز الدولي
GXF,Sayun International Airport,YE,مطار سيئون الدولي
PML,Port Moller Airport,PA,مطار ميناء مولر
NJF,Al Najaf International Airport,IQ,مطار النجف الدولي
BKC,Buckland Airport,US,مطار باكلاند
BOD,Bordeaux-mrignac Airport,FR, مطار بوردو ميجناك 
IYK,Inyokern Airport,US,مطار إينيوكيرن
GLV,Golovin Airport,US,مطار جولوفان
OBU,Kobuk Airport,US,مطار كوبوك
OAX,Xoxocotln International Airport,MX,مطار زوكسوكتلن الدولي
YVZ,Deer Lake Airport,CA,مطار دير ليك
ABL,Ambler Airport,US,مطار رهوان
YOG,Ogoki Post Airport,CA,مطار اوجوكي بوست
RDB,Red Dog Airport,US,مطار ريد دوغ
OWB,Owensboro-daviess County Regional Airport,US,أوينسبورو-دافييس مطار مقاطعة الإقليمي
TLH,Tallahassee Regional Airport,US,مطار تالاهاسي الإقليمي
PKU,Sultan Syarif Qasim Ii International Airport,ID,مطار سلطان سياريف قاسم الدولي الثاني
PBG,Plattsburgh International Airport,US,مطار بلاتسبرغ الدولية
IAN,Bob Baker Memorial Airport,US,مطار بوب بيكر التذكارية
MEX,Benito Jurez International Airport,MX,مطار بينيتو خواريز الدولي
AMD,Sardar Vallabhbhai Patel International Airport,IN,مطار سردار باتيل الدولي فالابي
YXP,Pangnirtung Airport,CA,مطار بانجنيرتونج
SNP,St Paul Island Airport,US,مطار بول
IGG,Igiugig Airport,US,مطار ايجيوجيك
WAA,Wales Airport,US,مطار ويلز
HAS,Hail Airport,SA,مطار حائل
SVA,Savoonga Airport,US,مطار سافونجا
KSM,St Marys Airport,US,مطار سانت ماريز
YZP,Sandspit Airport,CA,مطار ساندسبيت
YWP,Webequie Airport,CA,مطار ويبكوي
TOG,Togiak Airport,US,مطار توجياك
TLJ,Tatalina Lrrs Airport,US,مطار تاتالينا llrs
SHX,Shageluk Airport,US,مطار شيجيلوك
KFP,False Pass Airport,US,مطار فيلز باس
AUK,Alakanuk Airport,US,مطار الاكانوك
YQM,Greater Moncton International Airport,CA,مطار الكبرى مونكتون
YYD,Smithers Airport,CA,مطار سميثرز
BDH,Bandar Lengeh Airport,IR,مطار بندر لنجة
ZEM,Eastmain River Airport,CA,مطار ايستماين ريفير
TMP,Tampere-pirkkala Airport,FI,تامبيري-بيركالا مطار
CXI,Cassidy International Airport,KI,مطار كاسيدي الدولية
PAZ,El Tajn National Airport,MX,مطار شرم تاجن الوطنية
CLP,Clarks Point Airport,US,مطار كلاركس نقطة
KKJ,Kitakysh Airport,JP,مطار كيتاكيش
KUL,Kuala Lumpur International Airport,MY,مطار كوالالمبور الدولي
WSN,South Naknek Nr 2 Airport,US,مطار جنوب ناكنيك العدد 2
ODO,Bodaybo Airport,RU,مطار بودايبو
AJL,Lengpui Airport,IN,مطار لينغبوي
PIP,Pilot Point Airport,US,مطار بايلوت بوينت
KNH,Kinmen Airport,TW,مطار كينمن
RDD,Redding Municipal Airport,US,مطار ردينغ المحلي
URJ,Uray Airport,RU,مطار يوراي
MSA,Muskrat Dam Airport,CA,مطار مسكرات دام
KHS,Khasab Air Base,OM,قاعده خصاب الدوليه
