dep_city_name,arr_city_name,dep_city_code,arr_city_code,url,dep_country_code,arr_country_code,Keywords,Search volume
London,New York,LON,NYC,london-new-york-flights.html,GB,US,london to new york flights,110000
London,Amsterdam,LON,AMS,london-amsterdam-flights.html,GB,NL,london to amsterdam flights,110000
London,Barcelona,LON,BCN,london-barcelona-flights.html,GB,ES,london to barcelona flights,110000
London,Dublin,LON,DUB,london-dublin-flights.html,GB,IE,london to dublin flights,90500
London,Lisbon,LON,LIS,london-lisbon-flights.html,GB,PT,london to lisbon flights,90500
London,Bangkok,LON,BKK,london-bangkok-flights.html,GB,TH,london to bangkok flights,90500
London,Paris,LON,PAR,london-paris-flights.html,GB,FR,london to paris flights,74000
London,Rome,LON,ROM,london-rome-flights.html,GB,IT,london to rome flights,74000
Dublin,London,DUB,LON,dublin-london-flights.html,IE,GB,dublin to london flights,74000
London,Dubai,LON,DXB,london-dubai-flights.html,GB,AE,london to dubai flights,74000
London,Malaga,LON,AGP,london-malaga-flights.html,GB,ES,london to malaga flights,74000
London,Edinburgh,LON,EDI,london-edinburgh-flights.html,GB,GB,london to edinburgh flights,74000
London,Berlin,LON,BER,london-berlin-flights.html,GB,DE,london to berlin flights,60500
London,Madrid,LON,MAD,london-madrid-flights.html,GB,ES,london to madrid flights,60500
Sydney,Melbourne,SYD,MEL,sydney-melbourne-flights.html,AU,AU,sydney to melbourne flights,60500
Melbourne,Sydney,MEL,SYD,melbourne-sydney-flights.html,AU,AU,melbourne to sydney flights,60500
London,Istanbul,LON,IST,london-istanbul-flights.html,GB,TR,london to istanbul flights,49500
London,Faro,LON,FAO,london-faro-flights.html,GB,PT,london to faro flights,49500
London,Milan,LON,MIL,london-milan-flights.html,GB,IT,london to milan flights,49500
London,Prague,LON,PRG,london-prague-flights.html,GB,CZ,london to prague flights,49500
London,Athens,LON,ATH,london-athens-flights.html,GB,GR,london to athens flights,49500
London,Budapest,LON,BUD,london-budapest-flights.html,GB,HU,london to budapest flights,49500
London,Lagos,LON,LOS,london-lagos-flights.html,GB,NG,london to lagos flights,49500
London,Sydney,LON,SYD,london-sydney-flights.html,GB,AU,london to sydney flights,49500
Edinburgh,London,EDI,LON,edinburgh-london-flights.html,GB,GB,edinburgh to london flights,40500
London,Venice,LON,VCE,london-venice-flights.html,GB,IT,london to venice flights,40500
London,Larnaca,LON,LCA,london-larnaca-flights.html,GB,CY,london to larnaca flights,40500
London,Alicante,LON,ALC,london-alicante-flights.html,GB,ES,london to alicante flights,40500
Mumbai,Goa,BOM,GOI,mumbai-goa-flights.html,IN,IN,mumbai to goa flights,40500
Singapore,Bangkok,SIN,BKK,singapore-bangkok-flights.html,SG,TH,singapore to bangkok flights,40500
London,Ibiza,LON,IBZ,london-ibiza-flights.html,GB,ES,london to ibiza flights,40500
London,Belfast,LON,BFS,london-belfast-flights.html,GB,GB,london to belfast flights,40500
London,Glasgow,LON,GLA,london-glasgow-flights.html,GB,GB,london to glasgow flights,40500
London,Toronto,YXU,YTO,london-toronto-flights.html,CA,CA,london to toronto flights,40500
London,Orlando,LON,ORL,london-orlando-flights.html,GB,US,london to orlando flights,40500
London,Hong Kong,LON,HKG,london-hong-kong-flights.html,GB,HK,london to hong kong flights,40500
