airport_code,city_code,airport_name,address_en,webisite,phone
FSP,FSP,St Pierre Airport,,,
CGR,CGR,Campo Grande Airport,,,
VAM,KDM,Villa Airport,,,
BWI,BWI,Baltimore-washington International Airport,"""7062 Elm Rd",http://www.bwiairport.com/en,(+1) 410-859-7111
ZQW,BBJ,Zweibr 1-4 Cken Airport,,,
LOE,LOE,Loei Airport,,,
TJM,TJM,Roshchino International Airport,,,
HAQ,HAQ,Hanimaadhoo Airport,,,
IPC,IPC,Mataveri International Airport,"""Easter Island",,NA
SWJ,SWJ,Southwest Bay Airport,,,
CCC,CCC,Jardines Del Rey Airport,,,
NPL,NPL,New Plymouth Airport,"""Airport Dr",,(+64) 6-759 6060
GET,GET,Geraldton Airport,,,
TKX,TKX,Takaroa Airport,,,
HDY,HDY,Hat Yai International Airport,"""99 Airports - Ban Khlong La",,NA
ERS,WDH,Eros Airport,"""Aviation Road",,(+264) 61 295 5500
YPN,YPN,Port Menier Airport,,,
HDF,HDF,Heringsdorf Airport,,,
BMO,BMO,Banmaw Airport,,,
JAN,JAN,Jackson-evers International Airport,"""100 International Dr",http://jmaa.com/,(+1) 601-939-5631
YXL,YXL,Sioux Lookout Airport,,,
KKC,KKC,Khon Kaen Airport,,,
LPT,LPT,Lampang Airport,,,
MAQ,MAQ,Mae Sot Airport,,,
FMM,FMM,Memmingen Allgau Airport,,,
MYR,MYR,Myrtle Beach International Airport,"""1100 Jetport Rd",http://www.flymyrtlebeach.com/,(+1) 843-448-1589
HEH,HEH,Heho Airport,,,
GOJ,GOJ,Nizhny Novgorod International Airport,"""Airport",http://www.airportnn.ru/?lang=en,(+7) 800 100-03-33
SCO,SCO,Aktau Airport,"""Tupkaragan District",http://www.aktau-airport.kz/en,(+1)-345-943-7070
ULZ,UYN,Donoi Airport,,,
ZYI,YBP,Zunyi Xinzhou Airport,,,
INT,INT,Smith Reynolds Airport,,,
ERM,ERM,Erechim Airport,,,
MXV,UYN,Mrn Airport,,,
KEP,MEY,Nepalgunj Airport,,,
LVI,LVI,Livingstone Airport,"""Hillcrest",,NA
TBB,TBB,Dong Tac Airport,,,
KET,KET,Kengtung Airport,,,
KOP,KOP,Nakhon Phanom Airport,,,
DIN,DIN,Dien Bien Phu Airport,,,
KLL,WKK,Levelock Airport,,,
VCL,VCL,Chu Lai International Airport,,,
PUS,PUS,Gimhae International Airport,"""108",http://www.airport.co.kr/mbs/gimhaeeng/,(+1) 869-469-9040
UIH,UIH,Phu Cat Airport,,,
MYT,MYT,Myitkyina Airport,,,
VCS,VCS,Co Ong Airport,,,
AOK,AOK,Karpathos Island National Airport,"""Karpathos 857 00",,NA
SUF,SUF,Lamezia Terme International Airport,"""c / o International Airport ",http://www.sacal.it/,(+39) 0968 414333
BDJ,BDJ,Syamsudin Noor Airport,,,
TEN,NAO,Tongren Fenghuang Airport,,,
KPO,KPO,Pohang Airport,"""18",https://www.airport.co.kr/mbs/pohangeng/,(+82) 1661-2626
POM,POM,Jacksons International Airport,"""Morea-Tobo Rd",,(+675) 324 4704
FTE,FTE,El Calafate Airport,,,
TMR,TMR,Aguenar Eur Hadj Bey Akhamok Airport,,,
NBW,GAO,Guantanamo Bay Naval Base Airport,NA,,NA
DEB,DEB,Debrecen International Airport,,,
CMF,CMF,Chambry Airport,"""73420 Viviers-du-Lac",http://www.chambery-airport.com/rubrique.php3?id_rubrique=55,(+33) (0)4 79 54 49 54
JSI,JSI,Skiathos Island National Airport,,,
VCP,SAO,Viracopos International Airport,"""Rodovia Santos Dumont",http://www.viracopos.com/home.html,(+55) 19 3725-5000
SOB,DEB,Srmellck International Airport,,,
PMV,PMV,Del Caribe Santiago Mario International Airport,"""Sector El Yaque",,(+58) 295-4005050
JTY,JTY,Astypalaia Airport,,,
GGG,GGG,East Texas Regional Airport,"""269 Terminal Cir",http://www.flyggg.com/,(+1) 903-643-3031
MDE,MDE,Jos Mara Crdova International Airport,"""Rionegro",http://www.airplan.aero/,(+57) 4 4442818
LIG,LIG,Limoges - Bellegarde Airport,"""81 Avenue de lAeroport",,(+33) 5 55 43 30 30
XIC,XIC,Xichang Qingshan Airport,,,
BKO,BKO,Bamako Senou International Airport,"""Bamako",,NA
GEA,NOU,Nouma Magenta Airport,"""Magenta Aerodrome",,NA
MOZ,MOZ,Moorea Airport,,,
TDD,TDD,Teniente Av Jorge Henrich Arauz Airport,,,
YEG,YEG,Edmonton International Airport,,,
NYU,NYU,Bagan Airport,,,
OKL,DJJ,Oksibil Airport,,,
KMV,KMV,Kalay Airport,,,
BEJ,BEJ,Baraukalimaru Airport,,,
BPN,BPN,Sultan Aji Muhamad Sulaiman Airport,,,
MKQ,MKQ,Mopah Airport,,,
FOG,FOG,Foggia - Gino Lisa Airport,,,
WMX,WMX,Wamena Airport,,,
BIK,BIK,Frans Kaisiepo Airport,,,
TAY,TAY,Tartu Airport,,,
FDH,FDH,Friedrichshafen Airport,"""Am Flugplatz 64",http://www.fly-away.de/,(+49) 7541 2840
KGD,KGD,Khrabrovo Airport,"""Guryevsky region",http://www.kgd.aero/,(+7) 401 261-06-10
CIF,CIF,Chifeng Airport,,,
GUW,GUW,Atyrau Airport,,,
PGX,PGX,Prigueux Bassillac Airport,"""24330 Bassillac",http://www.aeroport-perigueux.com/,(+33) 5 53 02 79 79
GWT,GWT,Westerland Sylt Airport,,,
TAG,TAG,Tagbilaran Airport,,,
VOZ,VOZ,Voronezh International Airport,,,
VKG,VKG,Rach Gia Airport,,,
TMC,TMC,Tambolaka Airport,,,
DRW,DRW,Darwin International Airport,"""1 Henry Wrigley Dr",http://www.darwinairport.com.au/,(+61) 8 8920 1811
CLY,CLY,Calvi-sainte-catherine Airport,,,
SRG,SRG,Achmad Yani Airport,,,
SXM,SXM,Princess Juliana International Airport,"""Beacon Hill Road",http://www.sxmairport.com/,(+721) 546-7542
PKY,PKY,Tjilik Riwut Airport,,,
YZF,YZF,Yellowknife Airport,"""1 Yellowknife Hwy",,(+1) 867-873-4680
FUJ,FUJ,Fukue Airport,,,
BGO,BGO,Bergen Airport,"""Flyplassvegen 555",http://www.avinor.no/en/airport/bergen,(+47) 67 03 11 00
MAM,MAM,General Servando Canales International Airport,"""Carretera Ciudad Victoria KM 9",,(+52) 868 812 0001
CYO,CYO,Vilo Acuna International Airport,,,
BMV,BMV,Buon Ma Thuot Airport,,,
SCC,SCC,Deadhorse Airport,,,
TCB,TCB,Treasure Cay Airport,"""Treasure Cay",,(+1) 242-365-8602
GOH,GOH,Nuuk Airport,"""Aqisseqarajooq",,(+299) 32 60 05
RMI,RMI,Rimini - Miramare - Federico Fellini International Airport,,,
GSE,GOT,Gteborg City Airport,"""Säve Flygplatsvag",http://www.goteborgcityairport.se/index.php?lang=sv,(+46) 31 92 60 60
LUV,LUV,Dumatumbun Airport,,,
GTO,GTO,Jalaluddin Airport,,,
DOB,SMQ,Rar Gwamar Airport,,,
JOG,JOG,Adi Sutjipto International Airport,,,
