carrier_code,carrier_name,icoa_code,pnr_link,webcheckin_url
"0B","Blue Air","JOR","http://www.blueairweb.com/","http://www.blueairweb.com/"
"2B","Ak Bars Aero","BGM","http://www.akbarsaero.ru/en/","http://www.akbarsaero.ru/en/"
"3S","एयर एंटिल्स एक्सप्रेस","GUY","http://www.airantilles.com/","http://www.airantilles.com/webcheckin/"
"4B","बुटीक एयर", nil,"http://www.boutiqueair.com/","http://www.boutiqueair.com/pages/travel_manager"
"3U","Sichuan Airlines","CSC","http://www.scal.com.cn/B2C","http://www.scal.com.cn/B2C"
"4D","Air Sinai","ASD","http://www.iaa.gov.il/Rashat/en-US/Airports/BenGurion/InformationforTravelers/Airlines/AIRSINAI.htm","http://www.iaa.gov.il/Rashat/en-US/Airports/BenGurion/InformationforTravelers/Services/GeneralServices/PreFlight/SelfCheckin.htm"
"4M","LAN Argentina","DSM","http://www.lan.com/en_us/sitio_personas/destination-guides/argentina/","http://www.lan.com/cgi-bin/checkin/paso1.cgi"
"4Q","Safi Airways","SFW","http://safiairways.com/","http://www.safiairways.com/checkin"
"4Y","अलास्का एयरलाइंस","TUD","http://www.alaskaair.com/","https://webselfservice.alaskaair.com/checkinweb/default.aspx?language=en_US&lid=nav:travelInfo-checkIn%20{On-Click%20tag}"
"2M","Moldavian Airlines","MDV","http://www.mdv.md/","http://www.mdv.md/"
"5O","Europe Airpost","FPO","http://www.europeairpost.com/en/","http://www.europeairpost.com/en/"
"8P","Pacific Coastal","PCO","http://www.pacific-coastal.com/","http://www.pacificcoastal.com/id/201/Check-in-Time.html"
"7I","Insel Air","INC","https://bookinginsel.sita.aero/itd/itd/lang/en/reservations","https://fastcheck.sita.aero/cce-presentation-web-7i/entryUpdate.do"
"3Z","ट्रावेल सर्वीस पोलस्का","ZAW","http://www.travelservice.com.pl/","http://www.travelservice.com.pl/"
"3Z","Travel Service Polska","TVP","http://www.travelservice.com.pl/","http://www.travelservice.com.pl/"
"9W","Jet Airways","JAI","http://www.jetairways.com/EN/VN/PlanYourTravel/PNRStatus.aspx","http://www.jetairways.com/EN/IN/PlanYourTravel/WebCheck-in.aspx"
"9W-K","Jet Konnect", nil,"http://www.jetkonnect.com/in/pnrstatus.aspx","http://www.jetkonnect.com/in/webcheckin.aspx"
"AA","American Airlines","AAL","https://www.aa.com/login/optionalLoginAccess.do?anchorEvent=false&previousPage=/reservation/viewReservationsAccess.do&continueUrl=/reservation/findReservationAccess.do","http://www.americanairlines.in/intl/in/travelInformation/checkInOptions.jsp?anchorEvent=false&from=Nav"
"AF","Air France","AFR","https://www.airfrance.us/cgi-bin/AF/US/en/local/process/standard/rebooking/SearchPnrRbkAction.do?","https://www.airfrance.com/IN/en/local/transverse/frame/genericIFrame.htm?&resize=auto&frameWidth=1020&header=false&url=https://www.airfrance.com/ams/ici/checkin/Main/Checkin?DPS=af&LANG=en&MKT=IN&fromurl=http://www.airfrance.com/IN/en/local/home/home/Home"
"A8","एमरफ्लाईट","AMF","http://www.ameriflight.com/","http://www.ameriflight.com/"
"AK","Air Asia","AXM","https://booking.airasia.com/BookingListLogin.aspx?redirect=1&sso=1","http://www.airasia.com/in/en/home.page?gclid=CPbPwt-Ql74CFZcWjgodExUAzg#"
"B6","JetBlue Airways","JBU","http://www.jetblue.com/","https://checkin.jetblue.com/B6WebCheckIn/WebCheckIn.html#"
"BV","Blue Panorama Air","BPA","http://www.blue-panorama.it/en/index.html","http://www.blue-panorama.it/en/index.html"
"GV","Sky Gabon","SKG","http://www.skygabon.com/en/","http://www.skygabon.com/en/"
"C8","Cargolux Italia","ICV","http://cargoluxitalia.com/","http://cargoluxitalia.com/"
"G7","GoJet Airlines","GJS","http://www.gojetairlines.com/","http://www.gojetairlines.com/"
"HI","Papillon Airways", nil,"http://www.papillon.com/","http://www.papillon.com/"
"M7","मासएयर","MAA","http://www.masair.com/","http://www.masair.com/"
"NU","Japan Transocean Air","JTA","http://www.jal.co.jp/jta/","http://www.jal.co.jp/jta/"
"P6","Pascan Aviation","PSC","https://www.pascan.com/en/","https://www.pascan.com/en/flights-info-pascan/"
"YO","Heli Air Monaco","MCM","http://www.heliairmonaco.com/home.html","http://www.heliairmonaco.com/home.html"
"EA","Horizon Air", nil,"http://www.alaskaair.com/","http://www.alaskaair.com/"
"EF","एज्नीस एयरवेज","EZA","http://www.eznisairways.com/","http://www.eznisairways.com/check"
"6Y","Smartlynx Airlines","ART","http://www.smart-lynx.com/","http://www.smart-lynx.com/"
"BC","Skymark Airlines","SKY","http://www.skymark.co.jp/en/","http://www.skymark.co.jp/en/res_boarding/checkin.html"
"EK","Emirates","UAE","https://fly4.emirates.com/MYB/MMBLogin.aspx","https://fly4.emirates.com/CKIN/OLCI/FlightInfo.aspx"
"G8","GoAir","GOW","http://www.goair.in/changebooking.aspx","http://www.goair.in/WebCheckin/Web-CheckIn.aspx"
"JR","Joy Air","JOY","http://www.joy-air.com/","http://www.joy-air.com/"
"UD","HexAir","HER","http://www.hexair.com/","http://www.hexair.com/"
"HZ","अरोरा एयरलाइंस","SHU","http://www.flyaurora.ru/","http://www.flyaurora.ru/"
"ML","एयर मेडिटरेनियन","BIE","http://www.air-mediterranee.fr/","http://www.air-mediterranee.fr/"
"5M","मोंटसेराट एयरवेज","SIB","http://www.flymontserrat.com/","http://www.flymontserrat.com/check-in.php"
"3P","टीआरा एयर अरूबा","TNM","http://www.tiara-air.com/","http://www.tiara-air.com/plan-book/check-in/"
"ML","Trans Attico","ETC","http://www.air-mediterranee.fr/","http://www.air-mediterranee.fr/"
"8V","राइट एयर सर्वीस","WRF","http://wrightairservice.com/","http://wrightairservice.com/"
"NP","Nile Air","NIA","http://www.nileair.com/","http://www.nileair.com/"
"HR","Hahn Air Lines","HHN","https://www.hahnair.com/","https://www.hahnair.com/"
"JH","फ़ूजी ड्रीम एयरलाइंस","FDA","http://www.fujidream.co.jp/","http://www.fujidream.co.jp/checkin/"
"JY","ईंटरकेरीबीअन एयरवेज","IWY","http://airturksandcaicos.com/","http://airturksandcaicos.com/checkin"
"K3","Taquan Air","TQN","http://www.taquanair.com/","http://www.taquanair.com/"
"KC","Air Astana","KZR","http://www.airastana.com/","http://www.airastana.com/kaz/en/web-check-in.aspx"
"KU","Kuwait Airways","KAC","http://www.kuwaitairways.com/en/?tab=myb","http://www.kuwaitairways.com/en/?tab=olc"
"TJ","Tradewinds Airlines","KYE","http://www.skyleasecargo.com/en/index.php","http://www.skyleasecargo.com/en/index.php"
"L6","Mauritanian Airlines International","MAI","http://www.mauritaniaairlines.mr/","http://www.mauritaniaairlines.mr/"
"U9","Tatarstan Airlines","KAZ","http://www.tatarstan.aero/","http://www.tatarstan.aero/"
"X3","टीयुआईफ्लाय","HLX","https://www.tuifly.com/en/index.html","https://www.tuifly.com/Webcheckin.aspx?culture=en-GB"
"MW","मोकुलेल","BUG","http://www.mokuleleairlines.com/","http://www.mokuleleairlines.com/"
"O4","एंट्रेक एयर","ABV","http://www.antrakair.com/","http://www.antrakair.com/"
"O9","Nova Airways","NOV","http://www.novaairways.com/vn/default.aspx","http://www.novaairways.com/vn/default.aspx"
"OG","एयर ओनिक्स","ONX","http://www.aironix.ua/eng/","http://www.aironix.ua/eng/at-the-airport/Check-in-boarding.html"
"OC","Oriental Air Bridge","NGK","http://www.orc-air.co.jp/","http://www.orc-air.co.jp/"
"SQ","Singapore Airlines","SIA","https://www.singaporeair.com/manageBooking-flow.form?execution=e3s1","http://www.singaporeair.com/checkIN-flow.form?execution=e2s1"
"TG","Thai Airways","THA","http://www.thaiairways.com/en/index.page","http://www.thaiair.com/ADD_IWCI/Checkin_Process.jsp?random=1399360177946"
"UL","SriLankan Airlines","ALK","http://www.srilankan.com/en_uk/plan-and-book/flight-status","http://www.srilankan.com/olci"
"MY","माया आईलेंड्स एयर","MYD","http://www.mayaislandair.com/","http://www.mayaislandair.com/"
"VN","Vietnam Airlines","HVN","http://www.vietnamairlines.com/wps/portal/en/site/home?country_code=VN&country=vietnam&lang=en","http://www.vietnamairlines.com/wps/portal/en/site/before_you_fly/web_check_in/check_in_online"
"MW","Mokulele","MUL","http://www.mokuleleairlines.com/","http://www.mokuleleairlines.com/"
"N3","एयरोलाईनीस मास","MAS","http://www.aerolineasmas.com/","http://www.aerolineasmas.com/"
"L9","Belle Air Europe","BAL","http://www.belleaireurope.eu/","http://www.belleaireurope.eu/"
"IF","Islas Airways","ISW","http://www.islasnet.com/","http://www.islasnet.com/"
"VF","Valuair Ltd.","VLU","http://www.jetstar.com/au/en/home","http://www.jetstar.com/id/en/planning-and-booking/checking-in/web-check-in"
"UKM","UM Airlines","UKM","http://umair.com.ua/","http://umair.com.ua/"
"AM","Aeromexico","AMX","http://www.aeromexico.com/in/welcome.html","https://checkin.sabre.com/AMWebCheckIn/WebCheckIn.html#Language=en_US"
"A7","Air Comet","MPD","http://www.aircomet.com/","http://www.aircomet.com/"
"H7","Eagle Air","EGU","http://www.eagleair.is/","http://www.eagleair.is/"
"WS","WestJet","WJA","http://www.westjet.com/guest/en/home.shtml;jsessionid=dKLGTrpdm0DpmbGpWPfr0trj4pPfPdVT7p0GlWCsG4XpB1G6GySn!259107393","https://checkin.westjet.com/WSWCI/wci?execution=e2s1"
"AT","Royal Air Maroc","RAM","http://www.royalairmaroc.com/int-en","http://www.royalairmaroc.com/int-en/E-Services/Online-Check-in"
"FM","Shanghai Air","CSH","http://www.ceair.com/fm.html","http://www.ceair.com/fm.html"
"AZ","Alitalia","AZA","https://www.alitalia.com/","https://www.alitalia.com/it_en/Informazioni-Supporto/checkin/index.html"
"WB","Rwandair Express","RWD","http://www.rwandair.com/","http://www.rwandair.com/"
"XL","Lan Ecuador Aero","LNE","http://www.lan.com/en_ca/sitio_personas/special-offers/fly-within-ecuador/","http://www.lan.com/cgi-bin/checkin/paso1.cgi?rand=5809951.26701058"
"2I","Star Peru","SRU","http://www.starperu.com/es/","http://www.starperu.com/es/#tabs-2"
"6W","सेराटोव एयरलाइंस","SOV","http://www.saravia.ru/SitePages/passengers/online-table.aspx","http://booking.saravia.ru/is2009/web-checkin/conditions.jsf"
"KA","Dragonair","HDA","http://www.dragonair.com/ka/en_HK/manage-booking/manage-booking/manage-booking-now.html","http://www.dragonair.com/ka/en_IN/manage-booking/check-in/check-in-now.html"
"PX","Air Niugini Pty","ANG","http://www.airniugini.com.pg/","http://www.airniugini.com.pg/"
"TF","Malmo Aviation","SCW","http://www.malmoaviation.se/","http://www.malmoaviation.se/#foldable-pane-1"
"D3","Daallo Airlines","DAO","https://reservations.daallo.com/ibe/public/showReservation.action?hdnParamData=en^MAN","http://www.daallo.com/checkininfo.aspx"
"E5","Samara Airlines","BRZ","http://www.samara-airlines.ru/","http://www.samara-airlines.ru/"
"KK","Atlasjet","KKK","http://www.atlasjet.com/MainPage","https://online.atlasjet.com/AtlasOnline/onlineCheckIn/onlineCheckInSearch.jsp?lang=tr"
"LN","लीबिया एयरलाइंस","LAA","http://www.libyanairlines.co.uk/","http://www.libyanairlines.co.uk/"
"TL","Airnorth Regional","ANO","http://www.airnorth.com.au/","http://www.airnorth.com.au/flying-with-us/before-you-fly/check"
"DJ","Virgin Blue","VOZ","http://www.virginaustralia.com/au/en/","http://www.virginaustralia.com/au/en/"
"JL","Japan Airlines","JAL","http://www.jal.com/","http://www.jal.com/"
"LP","Lan Peru S.A.","LPE","http://www.lan.com/es_pe/sitio_personas/index.html","http://www.lan.com/cgi-bin/checkin/paso1.cgi?rand=254943.993213637"
"TY","Air Calédonie","TPC","http://www.air-caledonie.nc/","http://www.air-caledonie.nc/"
"US","यूएस एयरवेज़","USA","http://www.usairways.com/default.aspx?redir=https://www.google.co.in/","http://checkin.usairways.com/"
"3B","Central Connect Airlines","CCG","http://flycca.cz/","http://flycca.cz/"
"8R","एसओएल लाईनीस एरीस","TIB","http://www.sol.com.ar/site/new/","http://www.sol.com.ar/site/new/"
"9C","स्प्रिंग एयरलाइंस","CQH","http://www.springairlines.com/","http://www.springairlines.com/Activitiesall/Activities35"
"DX","डेनिश एयर ट्रांसपोर्ट","DTR","https://dat.dk/","https://www.dat.dk/en/online-check-in/"
"WG","सनवींग एयरलाइंस","SWG","http://www.flysunwing.com/","https://selfservice.sita.aero/internetSWP/identificationEdit.do?locale=en_EN&al=carrier_WG"
"SG","SpiceJet", nil,"https://book.spicejet.com/RetrieveBooking.aspx","https://book.spicejet.com/SearchWebCheckin.aspx"
"WG","सनवींग एयरलाइंस","WSG","http://www.flysunwing.com/","https://selfservice.sita.aero/internetSWP/identificationEdit.do?locale=en_EN&al=carrier_WG"
"8R","एसओएल लाईनीस एरीस","OLS","http://www.sol.com.ar/site/new/","http://www.sol.com.ar/site/new/"
"7L","सिल्क वे वेस्ट एयरलाइंस", nil,"http://www.silkwaywest.com/","http://www.silkwaywest.com/"
"UG","ट्युनीसएयर एक्सप्रेस","SEN","http://www.tunisairexpress.com.tn/","http://www.tunisairexpress.com.tn/"
"4Y","अलास्का एयरलाइंस","BLE","http://www.alaskaair.com/","https://webselfservice.alaskaair.com/checkinweb/default.aspx?language=en_US&lid=nav:travelInfo-checkIn%20{On-Click%20tag}"
"5E","नॉक मिनी","EKA","http://www.nokmini.com/website/pages/home/welcome.php?ss_sw=en-US","http://www.nokair.com/NokCheckIn/aspx/login.aspx?currlang=en-US&s_cid=nokair_webcheckin"
"7L","Silk Way West Airlines","CRN","http://www.silkwaywest.com/","http://www.silkwaywest.com/"
"Y5","Golden Myanmar Airlines","AWA","http://www.gmairlines.com/#tab1","http://www.gmairlines.com/#tab1"
"BF","ब्लूबर्ड कार्गो","RSR","http://www.bluebirdcargo.com/","http://www.bluebirdcargo.com/"
"EP","ईरान एसीमन एयरलाइंस","IRC","http://iaa.ir/","http://iaa.ir/"
"FS","Syphax Airlines","SYA","http://www.flysyphax.com/check-my-pnr/#gerer-tab","http://www.flysyphax.com/check-in-baggage/"
"LC","इक्वेटोरियल कांगो एयरलाइंस (ECAIR)", nil,"http://flyecair.com/","http://flyecair.com/"
"5Q","BQB लाईनीस एरीस","BEA","http://www.flybqb.com.uy/BQBFly/web/Home","https://portal.iberia.es/webcki_handling/busquedaLoader.do?aerolinea=5Q"
"5P","एयरोलाईनीआ प्रिंसीपल चिली","PEP","http://www.palair.cl/","http://www.palair.cl/"
"JG","Jetgo Australia", nil,"http://jetgo.com/","http://jetgo.com/"
"JA","बीएच एयरलाइंस","BON","http://www.bhairlines.ba/site_v3/en/","http://www.bhairlines.ba/english/servisne_informacije/na_aerodromu.php"
"E8","Brighton City Airways", nil,"http://www.cityairways.net/index_topic.php?did=231531&didpath=/231531","http://www.cityairways.net/index_topic.php?did=231531&didpath=/231531"
"JS","Air Koryo","KOR","http://www.airkoryo.com.kp/en","http://www.airkoryo.com.kp/en"
"NL","शाहीन एयर","SAI","http://www.shaheenair.com/sai-web/index.php","http://www.shaheenair.com/sai-web/index.php"
"NS","Hebei Airlines","HBH","http://www.hbhk.com.cn/index.action","http://www.hbhk.com.cn/index.action"
"QH","Kyrgyzstan Airlines","LYN","http://www.air.kg/","http://www.air.kg/"
"4Q","साफी एयरवेज","AEI","http://safiairways.com/","http://www.safiairways.com/checkin"
"3M","Gulfstream Intl","GFT","http://www.silverairways.com/","http://www.silverairways.com/"
