Carrier_code,carrier_name_en,carrier_name_hi,carrier_name_ar
0D,Darwin Airlines,डार्विनएयरलाइंस,الخطوطالجويةداروين
2B,Ak Bars Aero,एके बार्स एरो,آكبارزللطيران
2E,AVE.com,स्मोकीबेएयर,سموكيبييللطيران
2G,Angara Airlines,अंगारा एयरलाइंस,خطوطعنجرةالجوية
2I,Star Peru,स्टारपेरू,ستاربيرو
2J,Air Burkina,एयरबुर्किना,طيرانبوركينا
2K,Avianca Ecuador,एवियाका एक्वाडोर,ايروغالاباغوس
2L,Helvetic Airways,हेल्वेटीकएयरवेज,الخطوطالجويةهلفتيك
2M,Moldavian Airlines,मोलडावियन्एयरलाइंस,الخطوطالجويةالمولدافية
2N,Yuzmashavia,युझ्मशाविया,نيكستجيت
2N,NextJet,नेक्स्टजेट,نيكستجيت
2P,PAL Express,फिलीपींसकॉर्प,شركةالطيرانالفلبينية
2S,Air Carnival,एयर कार्निवल,Air Carnival
2T,TruJet,ट्रूजेट,TruJet
2W,Welcome Air,वेल्कमलुफ्ट्फार्ट,ويلكملوفتفاهارت
2Z,Changan Airlines,चांगन एयरलाइंस,خطوطتشانجانالجوية
3G,Gambia Bird,गाम्बियाबर्ड,غامبيابيرد
3H,Air Inuit,एयरइनुइट,طيرانالإسكيمو
3J,Jubba Airways,जुब्बाएयरवेज,خطوطجوباالجوية
3L,InterSky Luftfahrt,ईंटरस्कायलुफ्टफार्ट,إانترسكايلوفتفهرت
3P,TransGlobal Airways,ट्रांस ग्लोबल एयरवेज,تياراللطيراناروبا
3R,Moskovia Airlines,मॉस्कोविया एयरलाइंस,خطوطموسكوفياالجوية
3S,Aeroland Airways,एरोलैंड एयरवेज,طيرانالأنتيلاكسبرس
3S,Air Antilles Express,एयरएंटिल्सएक्सप्रेस,طيرانالأنتيلاكسبرس
3U,Sichuan Airlines,सिचुआनएयरलाइंस,خطوطسيتشوانالجوية
3Z,Zoom Airways,ज़ूम एयरवेज,بولسكالخدماتالسفر
3Z,Travel Service Polska,ट्रेवल सर्विस पोल्स्का,بولسكالخدماتالسفر
4B,Aviastar-TU,एविएस्टार-TU,بوتيكللطيران
4B,Perimeter Aviation,पेरिमीटर एविएशन,بوتيكللطيران
4D,Air Sinai,एयरसिनाई,طيرانسيناء
4E,Stabo Air Limited,स्टेबोएयरलिमिटेड,ستابوالمحدودةللطيران
4G,Gazpromavia,गेस्प्रोमावीया,شركةالطيرانكازبرومافيا
4H,United Airways,यूनाइटेडएयरवेज,الخطوطالجويةالمتحدة
4K,Kenn Borek Air,केनबोरेकएयर,كينبوريكللطيران
4M,LAN Argentina,लैनअर्जेंटीना,لانالأرجنتين
4N,Air North Yukons,एयर नॉर्थ युकौंस,طيراننورثيوكونز
4O,Interjet,ईंटरजेट,إنتيرجيت
4Q,Safi Airways,साफी एयरवेज़,الخطوطالجويةصافي
4T,Belair Airlines,बेलेयर एयरलाइंस,خطوطبيليرالجوية
4U,Germanwings,जर्मनवींग्स,جيرمانوينغز
4Y,Blue Line,ब्लू लाइन्स,خطوطألاسكاالجوية
4Y,Yute Air,यूट एयर,خطوطألاسكاالجوية
5C,Nature Air,नेचर एयर,خطوطكالالجويةللشحن
5C,C.A.L. Cargo Airlines,सी ए एल कार्गो एयरलाइन्स,خطوطكالالجويةللشحن
5E,Equaflight Services,इक्वाफलाईट सर्विसेस,نوكميني
5H,Fly540,फ्लाय540,فلاي540
5J,Cebu Pacific Air,सेबूपेसेफिकएयर,طيرانسيبوباسفيك
5M,Montserrat Airways,मोंटसेराट एयरवेज,الخطوطالجويةمونتسيرات
5N,Nordavia,नोर्डावीया,نوردوفيا
5O,Europe Airpost,यूरोपएयरपोस्ट,يوروبايربوست
5P,Aerolinea Principal Chile,एरोलीना प्रिंसिपल चिली,خطوططيرانتشيلي
5V,Lviv Airlines,एल व्ही आय व्ही एयरलाइंस,خطوطلافيفالجوية
5V,Everts Air,एवरट्स एयर,خطوطلافيفالجوية
5W,Astraeus Ltd.,एस्ट्रोईसलिमिटेड,استرايوسالمحدودة
6A,Aviacsa,एवीआक्सा,أفياكسا
6E,IndiGo,इंडिगो,إنديغو
6H,Israir Airlines,इस्त्रायर एयरलाइंस,خطوطاسرأيرالجوية
6I,Air Alsie,एयर अलसी,طيرانألسي
6L,Aklak Air,अकलाकएयर,أكلاكللطيران
6W,Saratov Airlines,सेराटोवएयरलाइंस,الخطوطالجويةساراتوف
6Y,Smartlynx Airlines,स्मार्टलींक्सएयरलाइंस,خطوططيرانسمارتلينكس
7C,Coyne Airways,कोयन एयरवेज,جيجوللطيران
7C,Jeju Air,जेजु एयर,جيجوللطيران
7D,Donbassaero Airlines,डोनबासएयरो,طيراندونباس
7E,Sylt Air,सिल्टएयर,سيلتللطيران
7F,First Air,फर्स्टएयर,فرستللطيران
7I,Insel Air,ईंसेलएयर,إنسلاير
7L,Aero Caribbean,ऐरो कॅरीबीयन,خطوطسيلكويويستالجوية
7M,Mistral Air,मिस्ट्रलएयर,ميسترالللطيران
7P,Air Panama,एयर पनामा,طيرانبنما
7R,RusLine,रसलाइन,روسلاين
7R,BRA Transportes Aéreos,बी आर ए ट्रांसपोर्ट्स एरोस,روسلاين
7S,Ryan Air,रयानएयर,طيرانرايان
7V,Federal Air,फ़ेडरल एयर,الخطوطالجويةالاتحادية
8A,AtlasBlue,एटलसब्लु,أطلسبلو
8B,Business Air,बिज़नेस एयर,بيزنيسللطيران
8D,FITS Air,फिट्स एयर,فيتسللطيران
8E,Bering Air,बेरिंगएयर,بيرينغللطيران
8F,STP Airways,एसटीपीएयरवेज,الخطوطالجويةإستيبي
8L,Lucky Air,लकीएयर,لوكيللطيران
8M,Myanmar Intl,म्यांमारइंटल,ميانمارالدولية
8P,Pacific Coastal,पेसिफिककोस्टल,خطوطباسيفيككوستالالجوية
8Q,Onur Air,ओनरएयर,أونورللطيران
8T,Air Tindi,एयरटींडी,طيرانتيندي
