city_code,airport_code,airport_name_en,airport_name_ar,airport_name_hi,airport_name_hi,,
FSP,FSP,St Pierre Airport,مطار سانت بيير,,सेंट पियरे हवाई अड्डा,done,
CGR,CGR,Campo Grande Airport,مطار كامبو غراند,,कैंपो ग्रैंड हवाई अड्डा,done,
KDM,VAM,Villa Airport,مطار فيلا,,विला हवाई अड्डा,done,
BWI,BWI,Baltimore-washington International Airport,مطار بالتيمور واشنطن الدولي,7062 एल्म रोड,बाल्टीमोर-वॉशिंग्टन अंतरराष्ट्रीय हवाई अड्डा,done,
BBJ,ZQW,Zweibr 1-4 Cken Airport,مطار زويبر 1-4 كين,,ज़ेइविर 1-4 सिकेन हवाई अड्डा,done,
LOE,LOE,Loei Airport,مطار لويي,,लोए हवाई अड्डा,done,
TJM,TJM,Roshchino International Airport,مطار روشتشينو الدولي,,रोशचिनो अंतरराष्ट्रीय हवाई अड्डा,done,
HAQ,HAQ,Hanimaadhoo Airport,مطار هانيمادو,,हनीमाधू हवाई अड्डा,done,
IPC,IPC,Mataveri International Airport,مطار ماتافيري الدولي,ईस्टर आईलेंड,मातावेरी अंतरराष्ट्रीय हवाई अड्डा,done,
SWJ,SWJ,Southwest Bay Airport,مطار جنوب غرب خليج,,साउथवेस्ट बे हवाई अड्डा,done,
CCC,CCC,Jardines Del Rey Airport,مطار جادينيز ديل راي,,जारडाइन्स डेल रे हवाई अड्डा,done,
NPL,NPL,New Plymouth Airport,مطار نيو بليموث,एयरर्पोर्ट ड्रा.,न्यू प्लायमाउथ हवाई अड्डा,done,
GET,GET,Geraldton Airport,مطار جيرالدتون,,जेरल्डटॅन हवाई अड्डा,done,
TKX,TKX,Takaroa Airport,مطار تاكاروا,,तकारोआ हवाई अड्डा,done,
HDY,HDY,Hat Yai International Airport,مطار هات ياي الدولي,99 एयरर्पोर्ट्स – बेन ख्लोंग ला,हॅट यी अंतरराष्ट्रीय हवाई अड्डा,done,
WDH,ERS,Eros Airport,مطار إيروس,एवीयेशन रोड,एरोस हवाई अड्डा,done,
YPN,YPN,Port Menier Airport,مطار ميناء مينيار,,पोर्ट मेनिएर हवाई अड्डा,done,
HDF,HDF,Heringsdorf Airport,مطار هيرينجسدورف,,हेरिंग्सडॉर्फ हवाई अड्डा,done,
JAN,JAN,Jackson-evers International Airport,مطار جاكسون إيفرز الدولي,100 ईन्टरनेशनल ड्रा.,जैक्सन-एवर्स अंतरराष्ट्रीय हवाई अड्डा,done,
YXL,YXL,Sioux Lookout Airport,مطار سيوكس لوك اوت,,सिओक्स लुकआउट हवाई अड्डा,done,
KKC,KKC,Khon Kaen Airport,مطار خون كاين,,खोन कैन हवाई अड्डा,done,
LPT,LPT,Lampang Airport,مطار امبانج,,लंपांग हवाई अड्डा,done,
MAQ,MAQ,Mae Sot Airport,مطار ماي سوت,,मै सॉट हवाई अड्डा,done,
FMM,FMM,Memmingen Allgau Airport,مطار ميمينجن الغاو,,मेमिंगेन ऑलगाऊ हवाई अड्डा,done,
MYR,MYR,Myrtle Beach International Airport,مطار ميرتل بيتش الدولي,1100 जेटपोर्ट रोड,म्यर्टल बीच अंतरराष्ट्रीय हवाई अड्डा,done,
HEH,HEH,Heho Airport,مطار هيهو,,हेहो  हवाई अड्डा,done,
,,,,,,,
GOJ,GOJ,Nizhny Novgorod International Airport,مطار نيجني نوفغورود الدولي,एयरर्पोर्ट,निज़नी नोव्गोरोड अंतरराष्ट्रीय हवाई अड्डा,Done,
SCO,SCO,Aktau Airport,مطار أكتاو,टुपकारागन डीस्ट्रीक्ट,आक्ताऊ हवाई अड्डा,Done,
UYN,ULZ,Donoi Airport,مطار دونوي,,डोनोइ हवाई अड्डा,done,
