city_code,city_name_en,city_name_hi,city_name_ar,,
IPH,Ipoh,इपोह,ايبوه,Shri,Done
BEU,Bedourie,बेडरी,,Shri,Done
TJU,Kulyab,कुलयाब,,Shri,Done
COL,Coll,कॉल,,Shri,Done
NOS,Nosy Be,नोसी बी,نوزي بي,Shri,Done
POS,Port Of Spain Trinidad,पोर्ट ऑफ स्पेन त्रिनिदाद,بورت أوف سبين ترينيداد,Shri,Done
SNR,St Nazaire,सेंट नज़िर,سانت نازير,Shri,.gvx `
INT,Winston Salem,विन्सटन सलेम,ونستون سالم,Shri,Done
WIC,Wick,विक,ويك,Shri,Done
CBH,B Char,बी चार,ب تشار,Shri,Done
MGT,Milingimbi,मिलिंज़िंबी,ميلينغيمبي,Shri,Done
WLG,Wellington,वेलिंगटन,ولينغتون,Shri,Done
OZZ,Ouarzazate,ओआरज़ज़त,ورزازات,Shri,Done
HDN,Hayden,हेडन,هايدن,Shri,Done
NLA,Ndola,नडोला,ندولا,Shri,Done
SHB,Nakashibetsu,नाकॉशिबेट्स्यू,ناكاشيبيتسو,Shri,Done
MAF,Midland,मिडलॅंड,ميدلاند,Shri,Done
MIG,Mianyang,मियनयंग,ميانيانغ,Shri,Done
MLG,Malang,मलांग,مالانج,Shri,Done
,,,,Shri,Done
MQX,Makale,मकाले,ماكالي,Shri,Done
LYI,Linyi,लिनयी,ليني,Shri,Done
LIF,Lifou,लिफॉ,ليفو,Shri,Done
LGB,Long Beach,लोंग बीच,لونغ بيتش,Shri,Done
LAD,Luanda,लुआंदा,لواندا,Shri,Done
LNS,Lancaster,लॅनकॅसटर,لانكستر,Shri,Done
KVC,King Cove,किंग कोव,كينغ كوف,Shri,Done
KIV,Chisinau,किसिनौ,كيشيناو,Shri,Done
CND,Constanta,कोन्स्टांता,كونستانتسا,Shri,Done
KUO,Kuopio,कूवोपीयो,كوبيو,Shri,Done
LYB,Little Cayman,लिट्ल केमन,كايمان الصغرى,Shri,Done
OGG,Kahului,काहुलूइ,كاهولو,Shri,Done
CAN,Guangzhou,ग्वंगज़्यू,قوانغتشو,Shri,Done
GSM,Gheshm,घेशम्,قشم,Shri,Done
FAI,Fairbanks,फैयरबंक्स,فيربانكس,Shri,Done
TBN,Fort Leonard Wood,फोर्ट लियोनार्ड वुड,فورت ليونارد وود,Shri,Done
GHA,Ghardaia,गारडैया,غرداية,Shri,Done
AAQ,Anapa,अनपा,عنابة,Shri,Done
CID,Cedar Rapids,सीडर रॅपिड्ज़,سيدار رابيدز,Shri,Done
SIN,Singapore,सिंगापुर,سنغافورة,Shri,Done
GEG,Spokane,स्पोकेन,سبوكان,Shri,Done
SEB,Sebha,सेभा,سبها,Shri,Done
LUQ,San Luis,सॅन लुईस,سان لويس,Shri,Done
SNC,Salinas,सलायनांस,ساليناس,Shri,Done
HSG,Saga,सागा,ساغا,Shri,Done
RMA,Roma,रोमा,روما,Shri,Done
DYU,Dushanbe,दशाम्बे,دوشانبي,Shri,Done
DUB,Dublin,डबलिन,دبلن,Shri,Done
KHS,Khasab,खासाब,خصب,Shri,Done
HOI,Hao island,हाओ आइलैंड,جزيرة هاو,Shri,Done
ADZ,San Andres Island,सॅन अँन्ड्रिस आइलॅंड,جزيرة سان اندريس,Shri,Done
TIU,Timaru,तीमारू,تيمارو,Shri,Done
CSY,Cheboksary,चेबोक्सरी,تشيبوكساري,Shri,Done
CHG,Chaoyang,चाओयाँग,تشاويانغ,Shri,Done
TUK,Turbat,तुर्बत,تربت,Shri,Done
TAC,Tacloban,टॅक्लॉबन,تاكلوبان,Shri,Done
PEN,Penang,पेनांग,بينانغ,Shri,Done
BEY,Beirut,बेरूत,بيروت,Shri,Done
PMY,Puerto Madryn,प्यर्टो माद्रीन,بويرتو مادرين,Shri,Done
PSE,Ponce,पॉन्स,بونس,Shri,Done
BUH,Bucharest,ब्यूकरेस्ट,بوخارست,Shri,Done
PXU,Pleiku,प्लेईकू,بليكو,Shri,Done
BAS,Ballalae,बॅललयी,بالالاي,Shri,Done
BTH,Batam,बेटम,باتام,Shri,Done
OSD,Ostersund,ऑस्टरसंड,أوسترسوند,Shri,Done
TNR,Antananarivo,अंटानानारिवो,أنتاناناريفو,Shri,Done
AXU,Axum,एक्सम,أكسوم,Shri,Done
IDR,Indore,इंदौर,إندور,Shri,Done
ELQ,Gassim,गासिम,القصيم,Shri,Done
ELP,El Paso,एल पासो,الباسو,Shri,Done
BRA,Barreiras,बार्रेयरस,,Shri,Done
LTQ,Le Tourquet,ले टौर्क़ुएत,,Shri,Done
BKC,Buckland,बकलैंड,,Shri,Done
BYO,Bointo,बॉइंटो,,Shri,Done
WBM,Wapenamanda,वेप्नामॅंडा,,Shri,Done
