city_code,city_name_en,city_name_ar,,,
IPH,Ipoh,ايبوه,,,
BEU,Bedourie,,,,
TJU,Kulyab,,,,
COL,Coll,,,,
NOS,Nosy Be,نوزي بي,,,
POS,Port Of Spain Trinidad,بورت أوف سبين ترينيداد,,,
SNR,St Nazaire,سانت نازير,,,
INT,Winston Salem,ونستون سالم,,,
WIC,Wick,ويك,,,
CBH,B Char,ب تشار,,,
MGT,Milingimbi,ميلينغيمبي,,,
WLG,Wellington,ولينغتون,,,
OZZ,Ouarzazate,ورزازات,,,
HDN,Hayden,هايدن,,,
NLA,Ndola,ندولا,,,
SHB,Nakashibetsu,ناكاشيبيتسو,,,
MAF,Midland,ميدلاند,,,
MIG,Mianyang,ميانيانغ,,,
MLG,Malang,مالانج,,,
,,,,,
MQX,Makale,ماكالي,,,
LYI,Linyi,ليني,,,
LIF,Lifou,ليفو,,,
LGB,Long Beach,لونغ بيتش,,,
LAD,Luanda,لواندا,,,
LNS,Lancaster,لانكستر,,,
KVC,King Cove,كينغ كوف,,,
KIV,Chisinau,كيشيناو,,,
CND,Constanta,كونستانتسا,,,
KUO,Kuopio,كوبيو,,,
LYB,Little Cayman,كايمان الصغرى,,,
OGG,Kahului,كاهولو,,,
CAN,Guangzhou,قوانغتشو,,,
GSM,Gheshm,قشم,,,
FAI,Fairbanks,فيربانكس,,,
TBN,Fort Leonard Wood,فورت ليونارد وود,,,
GHA,Ghardaia,غرداية,,,
AAQ,Anapa,عنابة,,,
CID,Cedar Rapids,سيدار رابيدز,,,
SIN,Singapore,سنغافورة,,,
GEG,Spokane,سبوكان,,,
SEB,Sebha,سبها,,,
LUQ,San Luis,سان لويس,,,
SNC,Salinas,ساليناس,,,
HSG,Saga,ساغا,,,
RMA,Roma,روما,,,
DYU,Dushanbe,دوشانبي,,,
DUB,Dublin,دبلن,,,
KHS,Khasab,خصب,,,
HOI,Hao island,جزيرة هاو,,,
ADZ,San Andres Island,جزيرة سان اندريس,,,
TIU,Timaru,تيمارو,,,
CSY,Cheboksary,تشيبوكساري,,,
CHG,Chaoyang,تشاويانغ,,,
TUK,Turbat,تربت,,,
TAC,Tacloban,تاكلوبان,,,
PEN,Penang,بينانغ,,,
BEY,Beirut,بيروت,,,
PMY,Puerto Madryn,بويرتو مادرين,,,
PSE,Ponce,بونس,,,
BUH,Bucharest,بوخارست,,,
PXU,Pleiku,بليكو,,,
