source_city_code,destination_city_code
SFO,LAX
LAX,SFO
LAX,NYC
NYC,LAX
SYD,MEL
MEL,SYD
SEA,LAX
LAX,SEA
LAS,LAX
LAX,LAS
SEA,SFO
LAX,PHX
PHX,LAX
SFO,SEA
LAX,CHI
MSP,CHI
BOS,NYC
YVR,YTO
NYC,ATL
LAX,ATL
NYC,BOS
SYD,BNE
CHI,LAX
ATL,LAX
CHI,MSP
CHI,SFO
BNE,SYD
SFO,CHI
YYC,YVR
LAX,SLC
YTO,YVR
SLC,LAX
MIA,ATL
LAX,SAN
DTT,CHI
SFO,NYC
YVR,YYC
SJC,LAX
YMQ,YTO
SAN,LAX
ATL,NYC
YTO,YMQ
ATL,CHI
CHI,DTT
NYC,SFO
LAX,SJC
CHI,ATL
ATL,MIA
LAX,DEN
OGG,HNL
CPT,JNB
LAX,HNL
YYC,YTO
SAC,LAX
LAX,SAC
DEN,LAX
SFO,LAS
SYD,AKL
HNL,LAX
HOU,ATL
JNB,CPT
YTO,YYC
PDX,LAX
AKL,SYD
YOW,YTO
ORL,ATL
DFW,CHI
NYC,ATL
KOA,HNL
LAX,PDX
LAS,SFO
ATL,HOU
ATL,ORL
LON,NYC
HNL,OGG
BOS,ATL
YTO,YOW
CHI,DFW
SLC,DEN
ORL,NYC
JAX,ATL
NYC,LON
NYC,ORL
MSY,ATL
ATL,MSY
DFW,LAX
ATL,BNA
DEN,SLC
IND,CHI
CUN,MEX
ATL,BOS
CLE,CHI
HNL,KOA
TPA,ATL
ATL,RDU
BNE,MEL
CHI,IND
LIH,HNL
ATL,JAX
OAK,LAX
NYC,RDU
RDU,ATL
MEX,CUN
NYC,BOS
BOS,NYC
ATL,WAS
SEA,PDX
BNA,ATL
MEX,MTY
MTY,MEX
CVG,CHI
TPE,HKG
PDX,SFO
SFO,NYC
ATL,NYC
NYC,CHI
HKG,TPE
SFO,PDX
RDU,NYC
WAS,ATL
LAX,DFW
ATL,DTT
DEN,CHI
LAX,NYC
CHI,NYC
BUF,NYC
SEA,YVR
NYC,CHI
SEA,GEG
SEA,ANC
MEL,BNE
STL,CHI
NYC,SFO
MUC,BER
NYC,LAX
CHI,CLE
CHI,STL
BER,MUC
LAX,OAK
DUS,MUC
ATL,TPA
DTT,ATL
MDE,BOG
HOU,MSY
SEA,ATL
LIM,CUZ
GDL,MEX
HNL,LIH
CHI,NYC
PDX,SEA
FLL,NYC
YVR,SEA
HAM,MUC
HOU,LAX
LAS,NYC
CHI,CVG
CHI,DEN
YEA,YVR
BOG,MDE
LAX,BOS
MIA,NYC
NYC,DTT
NYC,BUF
YTO,YWG
BKK,USM
GEG,SEA
SFO,SAN
CHI,NYC
SFO,DEN
DFW,ATL
WAS,LAX
PHL,ATL
MEX,GDL
ATL,WAS
BWI,ATL
YTO,YEA
MEM,ATL
MSY,HOU
LAX,WAS
FRA,HAM
FLL,ATL
USM,BKK
YHZ,YTO
ATL,PHL
ATL,BWI
CHI,HOU
LAX,DTT
DEN,SFO
SEA,DEN
YTO,ATL
WAS,ATL
SAN,SFO
ATL,DFW
MUC,DUS
SJU,NYC
CHC,WLG
YTO,YHZ
AKL,WLG
CMH,ATL
YVR,YEA
CHI,CMH
HOU,CHI
DTT,LAX
DTT,NYC
NYC,YTO
AKL,CHC
FRA,BER
FRA,VIE
LAX,HOU
ATL,MEM
ATL,SEA
IND,ATL
CMH,CHI
DEN,ATL
MSP,LAX
VIE,FRA
ATL,SAV
CHI,PIT
CUZ,LIM
WLG,AKL
ATL,IND
AUS,HOU
MKC,CHI
ANC,SEA
YEA,YTO
PIT,CHI
NYC,ATL
WLG,CHC
ADL,MEL
ATL,NYC
YTO,NYC
ATL,FLL
SJC,SEA
ATL,BHM
BER,FRA
NYC,DTT
MSP,ATL
NYC,FLL
PHX,CHI
DUR,JNB
DFW,HOU
WAS,SFO
MSP,DEN
LAX,MSP
CLT,ATL
ATL,PBI
ATL,MSP
SEA,SJC
MUC,LON
DTT,NYC
LON,MAD
CHI,MKC
MEL,ADL
KUL,SIN
ATL,CLT
CHC,AKL
NYC,MIA
YWG,YTO
HOU,AUS
DEN,SEA
CLO,BOG
BOS,LAX
NYC,LAS
MUC,HAM
ATL,CMH
MAD,LIS
NYC,SEA
ATL,CHS
SYD,OOL
YTO,CHI
AUS,LAX
CTA,ROM
YTO,DTT
RUH,JED
CHS,ATL
LAX,MIA
SEA,CHI
BHM,ATL
PIT,ATL
MUC,FRA
PBI,ATL
ATL,DEN
DEN,HOU
NYC,CHI
HOU,DFW
ATL,MKC
SAV,ATL
ATL,FMY
NYC,WAS
FRA,MUC
BOG,CLO
MIA,LAX
DTT,WAS
SFO,WAS
ORL,CHI
CHI,SEA
LIS,MAD
JED,RUH
NYC,BOS
SIN,KUL
DTT,BOS
CLT,CHI
YVR,LAX
SYD,CBR
DEN,MSP
ATL,YTO
RDU,NYC
CHI,YTO
YMQ,NYC
BOG,CTG
LAS,CHI
OOL,SYD
FNC,LIS
WAS,CHI
CTG,BOG
MAD,LON
SAN,CHI
BCN,MAD
CHI,WAS
HAM,FRA
HOU,DEN
LON,CHI
MIA,NYC
SEA,LAS
MSP,BOS
STL,ATL
ROM,CTA
RIC,ATL
CHI,CLT
FMY,ATL
DTT,PHL
ATL,HSV
LON,MUC
FRA,LON
NYC,RDU
CHI,BNA
DTT,CMH
CBR,SYD
YTO,NYC
SEA,NYC
SFO,ATL
WAS,DTT
SAC,SEA
MKC,ATL
ATL,STL
LAX,YVR
JNB,DUR
BOS,NYC
MKE,ATL
DTT,YTO
HSV,ATL
NYC,MIA
GSO,ATL
WAS,DTT
LON,FRA
CMH,DTT
CHI,BOS
TYS,ATL
ATL,SLC
ATL,TYS
HOU,DTT
LAX,ORL
SPK,TYO
CHI,PHX
DTT,WAS
ROC,NYC
DFW,SFO
BOS,CHI
ATL,GSO
LAS,SEA
